INPUT:text	INPUT:word	INPUT:pronoun	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	птицефабрику	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02a702191c1c25aa70c6	000275ac5b--64ff00f19ca59c7667577738	000275ac5b--64ff02a702191c1c25aa70c6	000275ac5b--64ff02a702191c1c25aa70bc	9da45f4a744c864615ae7ba3a5bc66e2	APPROVED	2023-09-11T12:05:59.610	2023-09-11T12:06:44.259	2023-09-11T12:06:44.259	0.022
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	школу	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02a702191c1c25aa70c6	000275ac5b--64ff00f19ca59c7667577736	000275ac5b--64ff02a702191c1c25aa70c6	000275ac5b--64ff02a702191c1c25aa70bc	9da45f4a744c864615ae7ba3a5bc66e2	APPROVED	2023-09-11T12:05:59.610	2023-09-11T12:06:44.259	2023-09-11T12:06:44.259	0.022
Элис отчаянно пыталась не дать своей дочери болтать на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	false	false			https://platform.toloka.ai/task/41266267/000275ac5b--64ff02caa4193f4ab1c9c5fd	000275ac5b--64ff00764d93952b80a03953	000275ac5b--64ff02caa4193f4ab1c9c5fd	000275ac5b--64ff02caa4193f4ab1c9c5f9	8769cf6c7b7b0224a1e7fa278357912e	APPROVED	2023-09-11T12:06:34.796	2023-09-11T12:07:13.019	2023-09-11T12:07:13.019	0.022
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	птицефабрику	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02caa4193f4ab1c9c5fd	000275ac5b--64ff00f19ca59c7667577738	000275ac5b--64ff02caa4193f4ab1c9c5fd	000275ac5b--64ff02caa4193f4ab1c9c5f9	8769cf6c7b7b0224a1e7fa278357912e	APPROVED	2023-09-11T12:06:34.796	2023-09-11T12:07:13.019	2023-09-11T12:07:13.019	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	посёлки	их	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02caa4193f4ab1c9c5fd	000275ac5b--64ff00f19ca59c7667577734	000275ac5b--64ff02caa4193f4ab1c9c5fd	000275ac5b--64ff02caa4193f4ab1c9c5f9	8769cf6c7b7b0224a1e7fa278357912e	APPROVED	2023-09-11T12:06:34.796	2023-09-11T12:07:13.019	2023-09-11T12:07:13.019	0.022
Многие начинали читать книги Пола и не могли оторваться. Они были так захвачены потому, что Пол так хорошо пишет.	Многие	Они	true	true			https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d4a5c7472a8d3bb3ff	000275ac5b--64ff00764d93952b80a0394e	000275ac5b--64ff02d4a5c7472a8d3bb3ff	000275ac5b--64ff02d4a5c7472a8d3bb3fd	9eabb5aad4481f544e15daf6471e5321	APPROVED	2023-09-11T12:06:44.971	2023-09-11T12:07:35.578	2023-09-11T12:07:35.578	0.022
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	школу	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d4a5c7472a8d3bb3ff	000275ac5b--64ff00f19ca59c7667577736	000275ac5b--64ff02d4a5c7472a8d3bb3ff	000275ac5b--64ff02d4a5c7472a8d3bb3fd	9eabb5aad4481f544e15daf6471e5321	APPROVED	2023-09-11T12:06:44.971	2023-09-11T12:07:35.578	2023-09-11T12:07:35.578	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	посёлки	их	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d4a5c7472a8d3bb3ff	000275ac5b--64ff00f19ca59c7667577734	000275ac5b--64ff02d4a5c7472a8d3bb3ff	000275ac5b--64ff02d4a5c7472a8d3bb3fd	9eabb5aad4481f544e15daf6471e5321	APPROVED	2023-09-11T12:06:44.971	2023-09-11T12:07:35.578	2023-09-11T12:07:35.578	0.022
Я вытащила бутылку воды из сумки, чтобы она была под рукой.	сумки	она	false	false			https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d667d81a106148dff8	000275ac5b--64ff00764d93952b80a0396e	000275ac5b--64ff02d667d81a106148dff8	000275ac5b--64ff02d667d81a106148dff2	9da45f4a744c864615ae7ba3a5bc66e2	APPROVED	2023-09-11T12:06:46.750	2023-09-11T12:07:28.185	2023-09-11T12:07:28.185	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	перелески	ими	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d667d81a106148dff8	000275ac5b--64ff00f19ca59c7667577732	000275ac5b--64ff02d667d81a106148dff8	000275ac5b--64ff02d667d81a106148dff2	9da45f4a744c864615ae7ba3a5bc66e2	APPROVED	2023-09-11T12:06:46.750	2023-09-11T12:07:28.185	2023-09-11T12:07:28.185	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	посёлки	их	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d667d81a106148dff8	000275ac5b--64ff00f19ca59c7667577734	000275ac5b--64ff02d667d81a106148dff8	000275ac5b--64ff02d667d81a106148dff2	9da45f4a744c864615ae7ba3a5bc66e2	APPROVED	2023-09-11T12:06:46.750	2023-09-11T12:07:28.185	2023-09-11T12:07:28.185	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	посёлки	их	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d719b264474bbeef16	000275ac5b--64ff00f19ca59c7667577734	000275ac5b--64ff02d719b264474bbeef16	000275ac5b--64ff02d719b264474bbeef12	923b5ed941091fde78a15162dc4ed42f	APPROVED	2023-09-11T12:06:47.530	2023-09-11T12:08:07.715	2023-09-11T12:08:07.715	0.022
Я уверен, что на моем плане будет отмечен этот дом. Он очень подробный.	плане	Он	true	true			https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d719b264474bbeef16	000275ac5b--64ff00764d93952b80a03970	000275ac5b--64ff02d719b264474bbeef16	000275ac5b--64ff02d719b264474bbeef12	923b5ed941091fde78a15162dc4ed42f	APPROVED	2023-09-11T12:06:47.530	2023-09-11T12:08:07.715	2023-09-11T12:08:07.715	0.022
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	птицефабрику	она	true				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02d719b264474bbeef16	000275ac5b--64ff00f19ca59c7667577738	000275ac5b--64ff02d719b264474bbeef16	000275ac5b--64ff02d719b264474bbeef12	923b5ed941091fde78a15162dc4ed42f	APPROVED	2023-09-11T12:06:47.530	2023-09-11T12:08:07.715	2023-09-11T12:08:07.715	0.022
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	перелески	ими	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02eb1795bb59b0a577cc	000275ac5b--64ff00f19ca59c7667577732	000275ac5b--64ff02eb1795bb59b0a577cc	000275ac5b--64ff02eb1795bb59b0a577c8	1b06a217792311bf54ad6bb81ad6e83f	APPROVED	2023-09-11T12:07:07.406	2023-09-11T12:07:51.454	2023-09-11T12:07:51.454	0.019
Маша хотела пойти в библиотеку, но она была закрыта.	библиотеку	она	true	true			https://platform.toloka.ai/task/41266267/000275ac5b--64ff02eb1795bb59b0a577cc	000275ac5b--64ff00764d93952b80a03966	000275ac5b--64ff02eb1795bb59b0a577cc	000275ac5b--64ff02eb1795bb59b0a577c8	1b06a217792311bf54ad6bb81ad6e83f	APPROVED	2023-09-11T12:07:07.406	2023-09-11T12:07:51.454	2023-09-11T12:07:51.454	0.019
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	школу	она	true				https://platform.toloka.ai/task/41266267/000275ac5b--64ff02eb1795bb59b0a577cc	000275ac5b--64ff00f19ca59c7667577736	000275ac5b--64ff02eb1795bb59b0a577cc	000275ac5b--64ff02eb1795bb59b0a577c8	1b06a217792311bf54ad6bb81ad6e83f	APPROVED	2023-09-11T12:07:07.406	2023-09-11T12:07:51.454	2023-09-11T12:07:51.454	0.019
Лошади бежали весело, огибая перелески и редкие посёлки, Варенцов не уставал ими любоваться и даже ни разу не стегнул плетью, подгоняя их бег.	перелески	ими	true				https://platform.toloka.ai/task/41266267/000275ac5b--64ff030982c38c64e85ebebb	000275ac5b--64ff00f19ca59c7667577732	000275ac5b--64ff030982c38c64e85ebebb	000275ac5b--64ff030982c38c64e85ebeb8	9eabb5aad4481f544e15daf6471e5321	APPROVED	2023-09-11T12:07:37.283	2023-09-11T12:08:41.966	2023-09-11T12:08:41.966	0.022
По утрам, в отличие от Насти, у Варвары не было такого выбора, идти ли ей в школу или на птицефабрику, она располагалась на самом краю посёлка за тенистым березнячком и подолгу мечтала, как уедет в город и станет актрисой.	птицефабрику	она	false				https://platform.toloka.ai/task/41266267/000275ac5b--64ff030982c38c64e85ebebb	000275ac5b--64ff00f19ca59c7667577738	000275ac5b--64ff030982c38c64e85ebebb	000275ac5b--64ff030982c38c64e85ebeb8	9eabb5aad4481f544e15daf6471e5321	APPROVED	2023-09-11T12:07:37.283	2023-09-11T12:08:41.966	2023-09-11T12:08:41.966	0.022
Элис отчаянно пыталась не дать своей дочери болтать на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	false	false			https://platform.toloka.ai/task/41266267/000275ac5b--64ff030982c38c64e85ebebb	000275ac5b--64ff00764d93952b80a03953	000275ac5b--64ff030982c38c64e85ebebb	000275ac5b--64ff030982c38c64e85ebeb8	9eabb5aad4481f544e15daf6471e5321	APPROVED	2023-09-11T12:07:37.283	2023-09-11T12:08:41.966	2023-09-11T12:08:41.966	0.022
