INPUT:text	INPUT:word	INPUT:pronoun	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted
Боб заплатил за обучение Чарльза в университете. Он был очень щедр.	Боб	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38a8a72cf018a32bc3a9	000271bf80--64ef36132409351a10c5f66d	000271bf80--64ef38a8a72cf018a32bc3a9	000271bf80--64ef38a8a72cf018a32bc39d	2d34fe46eb12f9e5176ed4f659d2cedc	APPROVED	2023-08-30T12:40:08.242	2023-08-30T12:41:02.065	2023-08-30T12:41:02.065
Марк полностью ушел в заботу о Блейзе, белом коне. Он боялся, что конюхи в конюшнях Берлингтона били его и издевались над ним, потому что он был робким, поэтому он взял кормление и уход за животным на себя.	Марк	Он боялся	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38a8a72cf018a32bc3a9	000271bf80--64ef36270308d50982a5a890	000271bf80--64ef38a8a72cf018a32bc3a9	000271bf80--64ef38a8a72cf018a32bc39d	2d34fe46eb12f9e5176ed4f659d2cedc	APPROVED	2023-08-30T12:40:08.242	2023-08-30T12:41:02.065	2023-08-30T12:41:02.065
Натали сдала все предметы на неделю раньше срока и уехала в Римини повидать Софи, она успела как раз вовремя, пока та не уехала в Германию.	Натали	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38ac04083e58c0999a05	000271bf80--64ef36290308d50982a5a964	000271bf80--64ef38ac04083e58c0999a05	000271bf80--64ef38ac04083e58c09999fe	051a6fd70c12e7e1aeda0b7f8c336fb6	APPROVED	2023-08-30T12:40:12.979	2023-08-30T12:40:47.976	2023-08-30T12:40:47.976
Маша хотела пойти в библиотеку, но она была закрыта.	библиотеку	она	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38ac04083e58c0999a05	000271bf80--64ef36132409351a10c5f65e	000271bf80--64ef38ac04083e58c0999a05	000271bf80--64ef38ac04083e58c09999fe	051a6fd70c12e7e1aeda0b7f8c336fb6	APPROVED	2023-08-30T12:40:12.979	2023-08-30T12:40:47.976	2023-08-30T12:40:47.976
У Ларри всегда были про запас два или три фокуса и дробовик, он стрелял без промаха, потому что был заговорён местной колдуньей на беспримерную меткость и храбрость.	Ларри	он	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38ac04083e58c0999a05	000271bf80--64ef36280308d50982a5a8e6	000271bf80--64ef38ac04083e58c0999a05	000271bf80--64ef38ac04083e58c09999fe	051a6fd70c12e7e1aeda0b7f8c336fb6	APPROVED	2023-08-30T12:40:12.979	2023-08-30T12:40:47.976	2023-08-30T12:40:47.976
У Ларри всегда были про запас два или три фокуса и дробовик, он стрелял без промаха, потому что был заговорён местной колдуньей на беспримерную меткость и храбрость.	Ларри	он	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38bb6d429a13b4bba7ef	000271bf80--64ef36280308d50982a5a8e6	000271bf80--64ef38bb6d429a13b4bba7ef	000271bf80--64ef38ba6d429a13b4bba7d0	923b5ed941091fde78a15162dc4ed42f	APPROVED	2023-08-30T12:40:27.026	2023-08-30T12:41:11.520	2023-08-30T12:41:11.520
Смотри! Рыбка плывет прямо под уткой! Ей бы лучше уплыть в безопасное место!	уткой	Ей	false	false			https://platform.toloka.ai/task/41009024/000271bf80--64ef38bb6d429a13b4bba7ef	000271bf80--64ef36132409351a10c5f660	000271bf80--64ef38bb6d429a13b4bba7ef	000271bf80--64ef38ba6d429a13b4bba7d0	923b5ed941091fde78a15162dc4ed42f	APPROVED	2023-08-30T12:40:27.026	2023-08-30T12:41:11.520	2023-08-30T12:41:11.520
Последний день настал. Завтра Нелл нужно было уходить. Мама внесла домой ее новый чемодан.	Нелл	ее	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38bb6d429a13b4bba7ef	000271bf80--64ef36260308d50982a5a76f	000271bf80--64ef38bb6d429a13b4bba7ef	000271bf80--64ef38ba6d429a13b4bba7d0	923b5ed941091fde78a15162dc4ed42f	APPROVED	2023-08-30T12:40:27.026	2023-08-30T12:41:11.520	2023-08-30T12:41:11.520
Генри не раз присутствовал на совещаниях, которые его отец проводил с известными детективами. Им требовалась его помощь в разгадывании таинственных загадок, и эти случаи становились для него красными днями календаря.	отец	его помощь	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c37c475157010661d3	000271bf80--64ef36260308d50982a5a753	000271bf80--64ef38c37c475157010661d3	000271bf80--64ef38c37c475157010661cf	080108bd9d75d19b0411c8881cb0759f	APPROVED	2023-08-30T12:40:35.837	2023-08-30T12:41:46.078	2023-08-30T12:41:46.078
Утром Джо построил на берегу домик из песка, а сверху воткнул флажок. Но после обеда прилив его размыл.	домик	прилив его размыл	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38c37c475157010661d3	000271bf80--64ef36132409351a10c5f654	000271bf80--64ef38c37c475157010661d3	000271bf80--64ef38c37c475157010661cf	080108bd9d75d19b0411c8881cb0759f	APPROVED	2023-08-30T12:40:35.837	2023-08-30T12:41:46.078	2023-08-30T12:41:46.078
Мэри впустила Салли в дом, потому что она вся промокла.	Салли	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c37c475157010661d3	000271bf80--64ef36280308d50982a5a8d0	000271bf80--64ef38c37c475157010661d3	000271bf80--64ef38c37c475157010661cf	080108bd9d75d19b0411c8881cb0759f	APPROVED	2023-08-30T12:40:35.837	2023-08-30T12:41:46.078	2023-08-30T12:41:46.078
Леди Балантайн наговорила леди Рубио много такого, о чём она потом серьёзно пожалела, но выбросить из головы уже не могла.	леди Рубио	она	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c611fcd81de5cbc403	000271bf80--64ef36280308d50982a5a8ea	000271bf80--64ef38c611fcd81de5cbc403	000271bf80--64ef38c611fcd81de5cbc401	4f4f4e3e797e0a0238af5c8bd9e34b60	APPROVED	2023-08-30T12:40:38.240	2023-08-30T12:41:35.593	2023-08-30T12:41:35.593
Последний день настал. Завтра Нелл нужно было уходить. Мама внесла домой ее новый чемодан.	Нелл	ее	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c611fcd81de5cbc403	000271bf80--64ef36260308d50982a5a76f	000271bf80--64ef38c611fcd81de5cbc403	000271bf80--64ef38c611fcd81de5cbc401	4f4f4e3e797e0a0238af5c8bd9e34b60	APPROVED	2023-08-30T12:40:38.240	2023-08-30T12:41:35.593	2023-08-30T12:41:35.593
Элис отчаянно пыталась не дать своей дочери лаять по-собачьи на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38c611fcd81de5cbc403	000271bf80--64ef36132409351a10c5f66a	000271bf80--64ef38c611fcd81de5cbc403	000271bf80--64ef38c611fcd81de5cbc401	4f4f4e3e797e0a0238af5c8bd9e34b60	APPROVED	2023-08-30T12:40:38.240	2023-08-30T12:41:35.593	2023-08-30T12:41:35.593
Утром Джо построил на берегу домик из песка, а сверху воткнул флажок. Но после обеда прилив его размыл.	домик	прилив его размыл	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38c6cb2d9f2c8af62ff7	000271bf80--64ef36132409351a10c5f654	000271bf80--64ef38c6cb2d9f2c8af62ff7	000271bf80--64ef38c6cb2d9f2c8af62ff4	652388480fbed0cfe02b3ea0427d5397	APPROVED	2023-08-30T12:40:38.597	2023-08-30T12:41:10.777	2023-08-30T12:41:10.777
Последний день настал. Завтра Нелл нужно было уходить. Мама внесла домой ее новый чемодан.	Нелл	ее	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c6cb2d9f2c8af62ff7	000271bf80--64ef36260308d50982a5a76f	000271bf80--64ef38c6cb2d9f2c8af62ff7	000271bf80--64ef38c6cb2d9f2c8af62ff4	652388480fbed0cfe02b3ea0427d5397	APPROVED	2023-08-30T12:40:38.597	2023-08-30T12:41:10.777	2023-08-30T12:41:10.777
Мэри впустила Салли в дом, потому что она вся промокла.	Салли	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c6cb2d9f2c8af62ff7	000271bf80--64ef36280308d50982a5a8d0	000271bf80--64ef38c6cb2d9f2c8af62ff7	000271bf80--64ef38c6cb2d9f2c8af62ff4	652388480fbed0cfe02b3ea0427d5397	APPROVED	2023-08-30T12:40:38.597	2023-08-30T12:41:10.777	2023-08-30T12:41:10.777
Маша хотела пойти в библиотеку, но она была закрыта.	библиотеку	она	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38c86d429a13b4bbab1e	000271bf80--64ef36132409351a10c5f65e	000271bf80--64ef38c86d429a13b4bbab1e	000271bf80--64ef38c86d429a13b4bbab10	a1263b2f8b20e85a1e33f1ff94e02429	APPROVED	2023-08-30T12:40:40.192	2023-08-30T12:41:54.591	2023-08-30T12:41:54.591
У Ларри всегда были про запас два или три фокуса и дробовик, он стрелял без промаха, потому что был заговорён местной колдуньей на беспримерную меткость и храбрость.	Ларри	он	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c86d429a13b4bbab1e	000271bf80--64ef36280308d50982a5a8e6	000271bf80--64ef38c86d429a13b4bbab1e	000271bf80--64ef38c86d429a13b4bbab10	a1263b2f8b20e85a1e33f1ff94e02429	APPROVED	2023-08-30T12:40:40.192	2023-08-30T12:41:54.591	2023-08-30T12:41:54.591
Марк полностью ушел в заботу о Блейзе, белом коне. Он боялся, что конюхи в конюшнях Берлингтона били его и издевались над ним, потому что он был робким, поэтому он взял кормление и уход за животным на себя.	Марк	Он боялся	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c86d429a13b4bbab1e	000271bf80--64ef36270308d50982a5a890	000271bf80--64ef38c86d429a13b4bbab1e	000271bf80--64ef38c86d429a13b4bbab10	a1263b2f8b20e85a1e33f1ff94e02429	APPROVED	2023-08-30T12:40:40.192	2023-08-30T12:41:54.591	2023-08-30T12:41:54.591
Мэт сразу прошел в бюро, невольно начав заводиться, когда врезался в манекен мистера Блайта в испанской шляпе и римском плаще, и проклиная его себе под нос за то, что оказался на его пути, как будто он был живым существом.	Мэт	на его пути	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c88cabf13b41f85eaa	000271bf80--64ef36260308d50982a5a7fc	000271bf80--64ef38c88cabf13b41f85eaa	000271bf80--64ef38c88cabf13b41f85ea8	8dc85aa0026da484ed7ed3ff63df794e	APPROVED	2023-08-30T12:40:40.268	2023-08-30T12:41:08.795	2023-08-30T12:41:08.795
Боб заплатил за обучение Чарльза в университете. Он был очень щедр.	Боб	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38c88cabf13b41f85eaa	000271bf80--64ef36132409351a10c5f66d	000271bf80--64ef38c88cabf13b41f85eaa	000271bf80--64ef38c88cabf13b41f85ea8	8dc85aa0026da484ed7ed3ff63df794e	APPROVED	2023-08-30T12:40:40.268	2023-08-30T12:41:08.795	2023-08-30T12:41:08.795
Генри не раз присутствовал на совещаниях, которые его отец проводил с известными детективами. Им требовалась его помощь в разгадывании таинственных загадок, и эти случаи становились для него красными днями календаря.	отец	его помощь	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef38c88cabf13b41f85eaa	000271bf80--64ef36260308d50982a5a753	000271bf80--64ef38c88cabf13b41f85eaa	000271bf80--64ef38c88cabf13b41f85ea8	8dc85aa0026da484ed7ed3ff63df794e	APPROVED	2023-08-30T12:40:40.268	2023-08-30T12:41:08.795	2023-08-30T12:41:08.795
Последний день настал. Завтра Нелл нужно было уходить. Мама внесла домой ее новый чемодан.	Нелл	ее	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38ce8cabf13b41f8601c	000271bf80--64ef36260308d50982a5a76f	000271bf80--64ef38ce8cabf13b41f8601c	000271bf80--64ef38ce8cabf13b41f86017	442c75ecd30597408b11ec58158ac894	APPROVED	2023-08-30T12:40:46.753	2023-08-30T12:41:23.907	2023-08-30T12:41:23.907
Элис отчаянно пыталась не дать своей дочери болтать на вечеринке. Мы не могли понять, почему она так странно себя ведет.	дочери	она	true	false			https://platform.toloka.ai/task/41009024/000271bf80--64ef38ce8cabf13b41f8601c	000271bf80--64ef36132409351a10c5f64e	000271bf80--64ef38ce8cabf13b41f8601c	000271bf80--64ef38ce8cabf13b41f86017	442c75ecd30597408b11ec58158ac894	APPROVED	2023-08-30T12:40:46.753	2023-08-30T12:41:23.907	2023-08-30T12:41:23.907
Марк полностью ушел в заботу о Блейзе, белом коне. Он боялся, что конюхи в конюшнях Берлингтона били его и издевались над ним, потому что он был робким, поэтому он взял кормление и уход за животным на себя.	Марк	Он боялся	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38ce8cabf13b41f8601c	000271bf80--64ef36270308d50982a5a890	000271bf80--64ef38ce8cabf13b41f8601c	000271bf80--64ef38ce8cabf13b41f86017	442c75ecd30597408b11ec58158ac894	APPROVED	2023-08-30T12:40:46.753	2023-08-30T12:41:23.907	2023-08-30T12:41:23.907
Натали сдала все предметы на неделю раньше срока и уехала в Римини повидать Софи, она успела как раз вовремя, пока та не уехала в Германию.	Натали	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38ceaaabce4287359a4a	000271bf80--64ef36290308d50982a5a964	000271bf80--64ef38ceaaabce4287359a4a	000271bf80--64ef38ceaaabce4287359a43	4d4d7524624b931ac0ab1ab205bdf9df	APPROVED	2023-08-30T12:40:46.907	2023-08-30T12:41:34.096	2023-08-30T12:41:34.096
Боб заплатил за обучение Чарльза в университете. Он был очень щедр.	Боб	Он	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38ceaaabce4287359a4a	000271bf80--64ef36132409351a10c5f66d	000271bf80--64ef38ceaaabce4287359a4a	000271bf80--64ef38ceaaabce4287359a43	4d4d7524624b931ac0ab1ab205bdf9df	APPROVED	2023-08-30T12:40:46.907	2023-08-30T12:41:34.096	2023-08-30T12:41:34.096
Леди Балантайн наговорила леди Рубио много такого, о чём она потом серьёзно пожалела, но выбросить из головы уже не могла.	леди Рубио	она	false				https://platform.toloka.ai/task/41009024/000271bf80--64ef38ceaaabce4287359a4a	000271bf80--64ef36280308d50982a5a8ea	000271bf80--64ef38ceaaabce4287359a4a	000271bf80--64ef38ceaaabce4287359a43	4d4d7524624b931ac0ab1ab205bdf9df	APPROVED	2023-08-30T12:40:46.907	2023-08-30T12:41:34.096	2023-08-30T12:41:34.096
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38d44990a07004fe1682	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef38d44990a07004fe1682	000271bf80--64ef38d44990a07004fe1673	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:40:52.493	2023-08-30T12:41:21.112	2023-08-30T12:41:21.112
Мэри впустила Салли в дом, потому что она вся промокла.	Салли	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38d44990a07004fe1682	000271bf80--64ef36280308d50982a5a8d0	000271bf80--64ef38d44990a07004fe1682	000271bf80--64ef38d44990a07004fe1673	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:40:52.493	2023-08-30T12:41:21.112	2023-08-30T12:41:21.112
Маша хотела пойти в библиотеку, но она была закрыта.	библиотеку	она	true	true			https://platform.toloka.ai/task/41009024/000271bf80--64ef38d44990a07004fe1682	000271bf80--64ef36132409351a10c5f65e	000271bf80--64ef38d44990a07004fe1682	000271bf80--64ef38d44990a07004fe1673	fa7898a9f0957c405d406bede50170ad	APPROVED	2023-08-30T12:40:52.493	2023-08-30T12:41:21.112	2023-08-30T12:41:21.112
Леди Балантайн наговорила леди Рубио много такого, о чём потом серьёзно пожалела, она корила себя за это долгие месяцы.	Леди Балантайн	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38d94990a07004fe17f7	000271bf80--64ef36280308d50982a5a8e8	000271bf80--64ef38d94990a07004fe17f7	000271bf80--64ef38d84990a07004fe17f4	c308de1721401829f4c630e8c88e2924	APPROVED	2023-08-30T12:40:57.051	2023-08-30T12:41:38.241	2023-08-30T12:41:38.241
У Ларри всегда были про запас два или три фокуса и дробовик, он стрелял без промаха, потому что был заговорён местной колдуньей на беспримерную меткость и храбрость.	Ларри	он	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38d94990a07004fe17f7	000271bf80--64ef36280308d50982a5a8e6	000271bf80--64ef38d94990a07004fe17f7	000271bf80--64ef38d84990a07004fe17f4	c308de1721401829f4c630e8c88e2924	APPROVED	2023-08-30T12:40:57.051	2023-08-30T12:41:38.241	2023-08-30T12:41:38.241
Анна родила девочку в прошлом месяце. Она – очаровательный ребенок.	Анна	Она	false	false			https://platform.toloka.ai/task/41009024/000271bf80--64ef38d94990a07004fe17f7	000271bf80--64ef36132409351a10c5f664	000271bf80--64ef38d94990a07004fe17f7	000271bf80--64ef38d84990a07004fe17f4	c308de1721401829f4c630e8c88e2924	APPROVED	2023-08-30T12:40:57.051	2023-08-30T12:41:38.241	2023-08-30T12:41:38.241
Казалось, Элли застыла, в её голове проносились молниями тысячи разных мыслей, и от этого она так болела, что просто раскалывалась.	голове	она	true				https://platform.toloka.ai/task/41009024/000271bf80--64ef38de04083e58c099a575	000271bf80--64ef36270308d50982a5a896	000271bf80--64ef38de04083e58c099a575	000271bf80--64ef38de04083e58c099a56f	26e835b1c42c63ec5de9771038a99dab	APPROVED	2023-08-30T12:41:02.967	2023-08-30T12:42:10.152	2023-08-30T12:42:10.152
