INPUT:idx	INPUT:neutral_comment	INPUT:training_counter	OUTPUT:fluent	GOLDEN:fluent	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
45	интересно,что он курит? отдай мой лям ублюдок👎👎👎	185	fluent	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c8fae9404dc38e660bd6e	00027db7ff--652c78f64f14b96d9b218cf2	00027db7ff--652c8fae9404dc38e660bd6e	00027db7ff--652c8fae9404dc38e660bd69	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:19:42.805	2023-10-16T01:22:17.472	2023-10-16T01:22:17.472	0.0300000000
716	Отстань пожалуйста	1620	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c8fae9404dc38e660bd6e	00027db7ff--652c796c5dae053080c94289	00027db7ff--652c8fae9404dc38e660bd6e	00027db7ff--652c8fae9404dc38e660bd69	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:19:42.805	2023-10-16T01:22:17.472	2023-10-16T01:22:17.472	0.0300000000
501	Вы и правда самобытны, общаетесь только картинками	2220	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c90304f14b96d9b25ea15	00027db7ff--652c796b5dae053080c940d4	00027db7ff--652c90304f14b96d9b25ea15	00027db7ff--652c90304f14b96d9b25ea06	78d2fc19145435cbc83c3443da460537	APPROVED	2023-10-16T01:21:52.623	2023-10-16T01:23:44.551	2023-10-16T01:23:44.551	0.0300000000
273	Зачем мне просрочку и еще платить за нее?	1984	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c90304f14b96d9b25ea15	00027db7ff--652c79695dae053080c93f09	00027db7ff--652c90304f14b96d9b25ea15	00027db7ff--652c90304f14b96d9b25ea06	78d2fc19145435cbc83c3443da460537	APPROVED	2023-10-16T01:21:52.623	2023-10-16T01:23:44.551	2023-10-16T01:23:44.551	0.0300000000
34	Жооора, мусик твой! Уйди, Я с вами вижу рааааай.	111	partly	no			https://platform.toloka.ai/task/41793535/00027db7ff--652c90304f14b96d9b25ea15	00027db7ff--652c78f64f14b96d9b218cdc	00027db7ff--652c90304f14b96d9b25ea15	00027db7ff--652c90304f14b96d9b25ea06	78d2fc19145435cbc83c3443da460537	APPROVED	2023-10-16T01:21:52.623	2023-10-16T01:23:44.551	2023-10-16T01:23:44.551	0.0300000000
716	Отстань пожалуйста	1620	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90379404dc38e660e082	00027db7ff--652c796c5dae053080c94289	00027db7ff--652c90379404dc38e660e082	00027db7ff--652c90379404dc38e660e07d	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:21:59.884	2023-10-16T01:22:26.864	2023-10-16T01:22:26.864	0.0320000000
41	Пьёт как твои дела? Как поживает твой старый папаша?	297	no	no			https://platform.toloka.ai/task/41793535/00027db7ff--652c90379404dc38e660e082	00027db7ff--652c78f64f14b96d9b218cea	00027db7ff--652c90379404dc38e660e082	00027db7ff--652c90379404dc38e660e07d	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:21:59.884	2023-10-16T01:22:26.864	2023-10-16T01:22:26.864	0.0320000000
710	Ещё бы в октябре открыл	2723	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90379404dc38e660e082	00027db7ff--652c796c5dae053080c9427d	00027db7ff--652c90379404dc38e660e082	00027db7ff--652c90379404dc38e660e07d	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:21:59.884	2023-10-16T01:22:26.864	2023-10-16T01:22:26.864	0.0320000000
408	Так же ответочка на претензии ежи до стакана и прочей ерунды	2432	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c904be013ff63cff31be3	00027db7ff--652c796a5dae053080c94019	00027db7ff--652c904be013ff63cff31be3	00027db7ff--652c904be013ff63cff31be1	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:22:19.097	2023-10-16T01:24:09.155	2023-10-16T01:24:09.155	0.0300000000
501	Вы и правда самобытны, общаетесь только картинками	2220	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c904be013ff63cff31be3	00027db7ff--652c796b5dae053080c940d4	00027db7ff--652c904be013ff63cff31be3	00027db7ff--652c904be013ff63cff31be1	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:22:19.097	2023-10-16T01:24:09.155	2023-10-16T01:24:09.155	0.0300000000
63	ясен хуй!!!с какого он должен снижаться то...куда нахуй маски со своего заводика продавать будет!!!мрази!!!ни дна вам ни покрышки!!!ублюдки!!!	124	fluent	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c904be013ff63cff31be3	00027db7ff--652c78f64f14b96d9b218d2e	00027db7ff--652c904be013ff63cff31be3	00027db7ff--652c904be013ff63cff31be1	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:22:19.097	2023-10-16T01:24:09.155	2023-10-16T01:24:09.155	0.0300000000
66	Не выкладывайте таких людей в ютюб и тд	450	fluent	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c905467632923dd64cb0d	00027db7ff--652c78f64f14b96d9b218d37	00027db7ff--652c905467632923dd64cb0d	00027db7ff--652c905467632923dd64cb0b	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:22:28.570	2023-10-16T01:22:58.431	2023-10-16T01:22:58.431	0.0320000000
273	Зачем мне просрочку и еще платить за нее?	1984	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c905467632923dd64cb0d	00027db7ff--652c79695dae053080c93f09	00027db7ff--652c905467632923dd64cb0d	00027db7ff--652c905467632923dd64cb0b	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:22:28.570	2023-10-16T01:22:58.431	2023-10-16T01:22:58.431	0.0320000000
220	Да я сегодня познакомилась нехотя с любовницей мужа	384	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c905467632923dd64cb0d	00027db7ff--652c79695dae053080c93e9f	00027db7ff--652c905467632923dd64cb0d	00027db7ff--652c905467632923dd64cb0b	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:22:28.570	2023-10-16T01:22:58.431	2023-10-16T01:22:58.431	0.0320000000
324	Кто там из думы пенсионерам макароны предлагал?	106	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90739404dc38e660ed3a	00027db7ff--652c796a5dae053080c93f70	00027db7ff--652c90739404dc38e660ed3a	00027db7ff--652c90739404dc38e660ed33	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:22:59.852	2023-10-16T01:23:29.095	2023-10-16T01:23:29.095	0.0320000000
621	даже этот человек и то понял, что народ восстанет!!!	2659	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90739404dc38e660ed3a	00027db7ff--652c796b5dae053080c941ca	00027db7ff--652c90739404dc38e660ed3a	00027db7ff--652c90739404dc38e660ed33	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:22:59.852	2023-10-16T01:23:29.095	2023-10-16T01:23:29.095	0.0320000000
73	Так вколыхнете печень-мало не покажется.	127	no	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c90739404dc38e660ed3a	00027db7ff--652c78f64f14b96d9b218d45	00027db7ff--652c90739404dc38e660ed3a	00027db7ff--652c90739404dc38e660ed33	10d0e160d63afa226564c1528d10850c	APPROVED	2023-10-16T01:22:59.852	2023-10-16T01:23:29.095	2023-10-16T01:23:29.095	0.0320000000
634	Не группа, а чёрт знает что. Одно враньё.	2468	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90bce013ff63cff337aa	00027db7ff--652c796b5dae053080c941e4	00027db7ff--652c90bce013ff63cff337aa	00027db7ff--652c90bce013ff63cff337a7	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:12.932	2023-10-16T01:24:29.174	2023-10-16T01:24:29.174	0.0320000000
324	Кто там из думы пенсионерам макароны предлагал?	106	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90bce013ff63cff337aa	00027db7ff--652c796a5dae053080c93f70	00027db7ff--652c90bce013ff63cff337aa	00027db7ff--652c90bce013ff63cff337a7	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:12.932	2023-10-16T01:24:29.174	2023-10-16T01:24:29.174	0.0320000000
19	пукнул и сьебался.трус и быдло.	59	partly	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c90bce013ff63cff337aa	00027db7ff--652c78f64f14b96d9b218cbe	00027db7ff--652c90bce013ff63cff337aa	00027db7ff--652c90bce013ff63cff337a7	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:12.932	2023-10-16T01:24:29.174	2023-10-16T01:24:29.174	0.0320000000
278	Вы держитесь, а я побежал	2698	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90ce4f14b96d9b260ea0	00027db7ff--652c79695dae053080c93f13	00027db7ff--652c90ce4f14b96d9b260ea0	00027db7ff--652c90ce4f14b96d9b260e99	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:30.829	2023-10-16T01:24:51.373	2023-10-16T01:24:51.373	0.0320000000
53	Как будто вид делают что ни чего не происходит	184	partly	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c90ce4f14b96d9b260ea0	00027db7ff--652c78f64f14b96d9b218d09	00027db7ff--652c90ce4f14b96d9b260ea0	00027db7ff--652c90ce4f14b96d9b260e99	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:30.829	2023-10-16T01:24:51.373	2023-10-16T01:24:51.373	0.0320000000
177	Наши дизайнеры из Ирбита плохо справились со своей работой	1635	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c90ce4f14b96d9b260ea0	00027db7ff--652c79695dae053080c93e48	00027db7ff--652c90ce4f14b96d9b260ea0	00027db7ff--652c90ce4f14b96d9b260e99	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:30.829	2023-10-16T01:24:51.373	2023-10-16T01:24:51.373	0.0320000000
16	А тем более с ними	2006	no				https://platform.toloka.ai/task/41793535/00027db7ff--652c90e467632923dd64eda7	00027db7ff--652c79685dae053080c93d05	00027db7ff--652c90e467632923dd64eda7	00027db7ff--652c90e467632923dd64eda5	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:52.970	2023-10-16T01:27:32.709	2023-10-16T01:27:32.709	0.0300000000
57	драю палубу с каким-то дебилом, потому что мы лучшие друзья!)))):-d﻿	248	fluent	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c90e467632923dd64eda7	00027db7ff--652c78f64f14b96d9b218d18	00027db7ff--652c90e467632923dd64eda7	00027db7ff--652c90e467632923dd64eda5	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:52.970	2023-10-16T01:27:32.709	2023-10-16T01:27:32.709	0.0300000000
32	Нам стали портить жизнь с 56 года, когда либералы внедрились путем обмана в коммунистическую партию вкп	2784	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c90e467632923dd64eda7	00027db7ff--652c79685dae053080c93d25	00027db7ff--652c90e467632923dd64eda7	00027db7ff--652c90e467632923dd64eda5	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:24:52.970	2023-10-16T01:27:32.709	2023-10-16T01:27:32.709	0.0300000000
39	Такую нехорошую личность надо наказывать и спрыгнуть с темы	128	fluent	no			https://platform.toloka.ai/task/41793535/00027db7ff--652c918767632923dd650f9d	00027db7ff--652c78f64f14b96d9b218ce6	00027db7ff--652c918767632923dd650f9d	00027db7ff--652c918767632923dd650f8d	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:27:35.916	2023-10-16T01:28:08.786	2023-10-16T01:28:08.786	0.0300000000
315	Девочка при исполнении ( на работе) а мужик скорее неумный драться лезет	526	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c918767632923dd650f9d	00027db7ff--652c796a5dae053080c93f5e	00027db7ff--652c918767632923dd650f9d	00027db7ff--652c918767632923dd650f8d	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:27:35.916	2023-10-16T01:28:08.786	2023-10-16T01:28:08.786	0.0300000000
597	Загубить то очень просто.нашли чем хвалиться	1597	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c918767632923dd650f9d	00027db7ff--652c796b5dae053080c94194	00027db7ff--652c918767632923dd650f9d	00027db7ff--652c918767632923dd650f8d	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:27:35.916	2023-10-16T01:28:08.786	2023-10-16T01:28:08.786	0.0300000000
31	эй вы..шавки которые меня называют...путиноидом..вам блядям ситуация с беларусью не о чем не говорит?а??	85	fluent	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c91aa4f14b96d9b263b77	00027db7ff--652c78f64f14b96d9b218cd6	00027db7ff--652c91aa4f14b96d9b263b77	00027db7ff--652c91aa4f14b96d9b263b75	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:28:10.618	2023-10-16T01:29:47.216	2023-10-16T01:29:47.216	0.0300000000
133	кто ему ударил камнем по голове, и в воду выкинул?	2286	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c91aa4f14b96d9b263b77	00027db7ff--652c79695dae053080c93df0	00027db7ff--652c91aa4f14b96d9b263b77	00027db7ff--652c91aa4f14b96d9b263b75	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:28:10.618	2023-10-16T01:29:47.216	2023-10-16T01:29:47.216	0.0300000000
220	Да я сегодня познакомилась нехотя с любовницей мужа	384	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c91aa4f14b96d9b263b77	00027db7ff--652c79695dae053080c93e9f	00027db7ff--652c91aa4f14b96d9b263b77	00027db7ff--652c91aa4f14b96d9b263b75	daf1ebce7072b353813419ff5f110451	APPROVED	2023-10-16T01:28:10.618	2023-10-16T01:29:47.216	2023-10-16T01:29:47.216	0.0300000000
249	Ну и зачем вы сейчас выкинули это видео2015года?это человек ещё во власти?	1343	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c922d9404dc38e661481b	00027db7ff--652c79695dae053080c93ed9	00027db7ff--652c922d9404dc38e661481b	00027db7ff--652c922d9404dc38e6614813	75bc70be4105d424758c07e1b8c50861	APPROVED	2023-10-16T01:30:21.936	2023-10-16T01:31:33.382	2023-10-16T01:31:33.382	0.0300000000
17	да, кто этот постоянно сюда сливает?!	81	fluent	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c922d9404dc38e661481b	00027db7ff--652c78f64f14b96d9b218cba	00027db7ff--652c922d9404dc38e661481b	00027db7ff--652c922d9404dc38e6614813	75bc70be4105d424758c07e1b8c50861	APPROVED	2023-10-16T01:30:21.936	2023-10-16T01:31:33.382	2023-10-16T01:31:33.382	0.0300000000
324	Кто там из думы пенсионерам макароны предлагал?	106	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c922d9404dc38e661481b	00027db7ff--652c796a5dae053080c93f70	00027db7ff--652c922d9404dc38e661481b	00027db7ff--652c922d9404dc38e6614813	75bc70be4105d424758c07e1b8c50861	APPROVED	2023-10-16T01:30:21.936	2023-10-16T01:31:33.382	2023-10-16T01:31:33.382	0.0300000000
48	На жида Агутина он похож, ну или на кого-то подобного. Шлеперский нос не скрыть от глаз прозорливых двачеров!	404	fluent	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c98644f14b96d9b276de4	00027db7ff--652c78f64f14b96d9b218cf8	00027db7ff--652c98644f14b96d9b276de4	00027db7ff--652c98644f14b96d9b276ddf	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T01:56:52.994	2023-10-16T02:03:20.425	2023-10-16T02:03:20.425	0.0300000000
220	Да я сегодня познакомилась нехотя с любовницей мужа	384	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c98644f14b96d9b276de4	00027db7ff--652c79695dae053080c93e9f	00027db7ff--652c98644f14b96d9b276de4	00027db7ff--652c98644f14b96d9b276ddf	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T01:56:52.994	2023-10-16T02:03:20.425	2023-10-16T02:03:20.425	0.0300000000
315	Девочка при исполнении ( на работе) а мужик скорее неумный драться лезет	526	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c98644f14b96d9b276de4	00027db7ff--652c796a5dae053080c93f5e	00027db7ff--652c98644f14b96d9b276de4	00027db7ff--652c98644f14b96d9b276ddf	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T01:56:52.994	2023-10-16T02:03:20.425	2023-10-16T02:03:20.425	0.0300000000
249	Ну и зачем вы сейчас выкинули это видео2015года?это человек ещё во власти?	1343	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c99eb67632923dd66a348	00027db7ff--652c79695dae053080c93ed9	00027db7ff--652c99eb67632923dd66a348	00027db7ff--652c99eb67632923dd66a346	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:03:23.184	2023-10-16T02:05:24.994	2023-10-16T02:05:24.994	0.0300000000
63	ясен хуй!!!с какого он должен снижаться то...куда нахуй маски со своего заводика продавать будет!!!мрази!!!ни дна вам ни покрышки!!!ублюдки!!!	124	no	fluent			https://platform.toloka.ai/task/41793535/00027db7ff--652c99eb67632923dd66a348	00027db7ff--652c78f64f14b96d9b218d2e	00027db7ff--652c99eb67632923dd66a348	00027db7ff--652c99eb67632923dd66a346	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:03:23.184	2023-10-16T02:05:24.994	2023-10-16T02:05:24.994	0.0300000000
710	Ещё бы в октябре открыл	2723	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c99eb67632923dd66a348	00027db7ff--652c796c5dae053080c9427d	00027db7ff--652c99eb67632923dd66a348	00027db7ff--652c99eb67632923dd66a346	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:03:23.184	2023-10-16T02:05:24.994	2023-10-16T02:05:24.994	0.0300000000
177	Наши дизайнеры из Ирбита плохо справились со своей работой	1635	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c9a66a8ebdc7126d9e220	00027db7ff--652c79695dae053080c93e48	00027db7ff--652c9a66a8ebdc7126d9e220	00027db7ff--652c9a66a8ebdc7126d9e21c	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:05:26.449	2023-10-16T02:06:42.536	2023-10-16T02:06:42.536	0.0300000000
32	Нам стали портить жизнь с 56 года, когда либералы внедрились путем обмана в коммунистическую партию вкп	2784	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c9a66a8ebdc7126d9e220	00027db7ff--652c79685dae053080c93d25	00027db7ff--652c9a66a8ebdc7126d9e220	00027db7ff--652c9a66a8ebdc7126d9e21c	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:05:26.449	2023-10-16T02:06:42.536	2023-10-16T02:06:42.536	0.0300000000
25	неее так ? да похер что и как .люди вышли, на улицы	438	partly	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c9a66a8ebdc7126d9e220	00027db7ff--652c78f64f14b96d9b218cca	00027db7ff--652c9a66a8ebdc7126d9e220	00027db7ff--652c9a66a8ebdc7126d9e21c	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:05:26.449	2023-10-16T02:06:42.536	2023-10-16T02:06:42.536	0.0300000000
8	ХОХЛЫ!! КРУГОМ ХОХЛЫ !! Gifx	181	no	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c9ab367632923dd66d31d	00027db7ff--652c78f64f14b96d9b218ca8	00027db7ff--652c9ab367632923dd66d31d	00027db7ff--652c9ab367632923dd66d31a	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:06:43.981	2023-10-16T02:07:36.228	2023-10-16T02:07:36.228	0.0300000000
324	Кто там из думы пенсионерам макароны предлагал?	106	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c9ab367632923dd66d31d	00027db7ff--652c796a5dae053080c93f70	00027db7ff--652c9ab367632923dd66d31d	00027db7ff--652c9ab367632923dd66d31a	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:06:43.981	2023-10-16T02:07:36.228	2023-10-16T02:07:36.228	0.0300000000
522	Герой России полковник Чепига выступал против США	918	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c9ab367632923dd66d31d	00027db7ff--652c796b5dae053080c940fe	00027db7ff--652c9ab367632923dd66d31d	00027db7ff--652c9ab367632923dd66d31a	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:06:43.981	2023-10-16T02:07:36.228	2023-10-16T02:07:36.228	0.0300000000
1	пиздёжжжжжжжжжжжжжжж - нас большинство и мы за поправки и путина а ты пидорас	412	partly	partly			https://platform.toloka.ai/task/41793535/00027db7ff--652c9aeb9404dc38e662ccec	00027db7ff--652c78f64f14b96d9b218c9a	00027db7ff--652c9aeb9404dc38e662ccec	00027db7ff--652c9aeb9404dc38e662ccea	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:07:39.683	2023-10-16T02:08:15.381	2023-10-16T02:08:15.381	0.0300000000
501	Вы и правда самобытны, общаетесь только картинками	2220	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c9aeb9404dc38e662ccec	00027db7ff--652c796b5dae053080c940d4	00027db7ff--652c9aeb9404dc38e662ccec	00027db7ff--652c9aeb9404dc38e662ccea	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:07:39.683	2023-10-16T02:08:15.381	2023-10-16T02:08:15.381	0.0300000000
16	А тем более с ними	2006	fluent				https://platform.toloka.ai/task/41793535/00027db7ff--652c9aeb9404dc38e662ccec	00027db7ff--652c79685dae053080c93d05	00027db7ff--652c9aeb9404dc38e662ccec	00027db7ff--652c9aeb9404dc38e662ccea	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:07:39.683	2023-10-16T02:08:15.381	2023-10-16T02:08:15.381	0.0300000000
273	Зачем мне просрочку и еще платить за нее?	1984	partly				https://platform.toloka.ai/task/41793535/00027db7ff--652c9b10e013ff63cff4fbb1	00027db7ff--652c79695dae053080c93f09	00027db7ff--652c9b10e013ff63cff4fbb1	00027db7ff--652c9b10e013ff63cff4fbad	8ff0a49d40b9b03e49022265ea3a36a6	APPROVED	2023-10-16T02:08:16.874	2023-10-16T02:09:50.297	2023-10-16T02:09:50.297	0.0300000000
