INPUT:idx	INPUT:toxic_comment	INPUT:task1_suite_id	INPUT:neutral_comment	INPUT:training_counter	OUTPUT:is_match	GOLDEN:is_match	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
18	да не женщины виноваты это мужики уроды сейчас пошли	control	Не женщины виноваты, а мужчины сейчас такие.	405	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c78ca9404dc38e65c5f9a	00027db74b--652c722467632923dd5e6786	00027db74b--652c78ca9404dc38e65c5f9a	00027db74b--652c78ca9404dc38e65c5f97	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:42:02.699	2023-10-15T23:43:09.566	2023-10-15T23:43:09.566	0.0300000000
578	Всё правильно делают! Если русские терпилы и куколды, то хоть якуты мамбетов на место поставят.	1	Всë правильно! Если русские терпят, то хоть якуты мамбетов смогут поставить на место.	393	true				https://platform.toloka.ai/task/41793355/00027db74b--652c78ca9404dc38e65c5f9a	00027db74b--652c72bea8ebdc7126d2434f	00027db74b--652c78ca9404dc38e65c5f9a	00027db74b--652c78ca9404dc38e65c5f97	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:42:02.699	2023-10-15T23:43:09.566	2023-10-15T23:43:09.566	0.0300000000
52	ясен хуй!!!с какого он должен снижаться то...куда нахуй маски со своего заводика продавать будет!!!мрази!!!ни дна вам ни покрышки!!!ублюдки!!!	1	Естественно!! Почему он должен снижаться то... Куда маски со своего заводика продавать будет!!! Ни дна вам ни покрышки!!!	272	true				https://platform.toloka.ai/task/41793355/00027db74b--652c790ea8ebdc7126d38265	00027db74b--652c72baa8ebdc7126d23e9d	00027db74b--652c790ea8ebdc7126d38265	00027db74b--652c790ea8ebdc7126d38263	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:43:10.857	2023-10-15T23:44:44.574	2023-10-15T23:44:44.574	0.0300000000
160	такого долбоебизма как в киеве не будет	1	такого, как в киеве, не будет.	198	false				https://platform.toloka.ai/task/41793355/00027db74b--652c790ea8ebdc7126d38265	00027db74b--652c72bba8ebdc7126d23fa7	00027db74b--652c790ea8ebdc7126d38265	00027db74b--652c790ea8ebdc7126d38263	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:43:10.857	2023-10-15T23:44:44.574	2023-10-15T23:44:44.574	0.0300000000
2	блядин! уходи в манастырь! замаливай грехи, заодно перестанешь трахаться.	control	Уходи в монастырь. Замаливай грехи. Заодно перестанешь заниматься сексом.	120	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c790ea8ebdc7126d38265	00027db74b--652c722467632923dd5e6763	00027db74b--652c790ea8ebdc7126d38265	00027db74b--652c790ea8ebdc7126d38263	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:43:10.857	2023-10-15T23:44:44.574	2023-10-15T23:44:44.574	0.0300000000
56	как вы суки хочете чтоб россия напала и завоевала, чтоб вас тварей потом кормить.	1	как вы хотите, чтобы Россия напала и завоевала, чтоб вас потом кормить.	877	true				https://platform.toloka.ai/task/41793355/00027db74b--652c796f4f14b96d9b21a410	00027db74b--652c72baa8ebdc7126d23ea6	00027db74b--652c796f4f14b96d9b21a410	00027db74b--652c796f4f14b96d9b21a40b	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:44:47.240	2023-10-15T23:46:54.567	2023-10-15T23:46:54.567	0.0300000000
40	остальная страна ссыкуны и быдло.	control	остальные страны плохие	235	false	false			https://platform.toloka.ai/task/41793355/00027db74b--652c796f4f14b96d9b21a410	00027db74b--652c722467632923dd5e67ba	00027db74b--652c796f4f14b96d9b21a410	00027db74b--652c796f4f14b96d9b21a40b	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:44:47.240	2023-10-15T23:46:54.567	2023-10-15T23:46:54.567	0.0300000000
332	не наша, а твоя ( дибильная)	1	Не наша, а твоя!	196	false				https://platform.toloka.ai/task/41793355/00027db74b--652c796f4f14b96d9b21a410	00027db74b--652c72bca8ebdc7126d24121	00027db74b--652c796f4f14b96d9b21a410	00027db74b--652c796f4f14b96d9b21a40b	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:44:47.240	2023-10-15T23:46:54.567	2023-10-15T23:46:54.567	0.0300000000
12	вырвать руки ублюдкам, а родителям огромный штраф	control	Их нужно наказать. На родителей наложить большой штраф.	313	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c79f0e013ff63cfef1080	00027db74b--652c722467632923dd5e6778	00027db74b--652c79f0e013ff63cfef1080	00027db74b--652c79f0e013ff63cfef1078	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:46:56.093	2023-10-15T23:47:45.531	2023-10-15T23:47:45.531	0.0300000000
144	осторожно мошенники,эта тварь гуляет по интернету и обманывает людей,этот товар белорусской фабрики и стоит он от 4000 руб.	1	осторожно мошенники,эти люди  гуляют по интернету и обманывают людей,этот товар белорусской фабрики и стоит он от 4000 руб.	974	true				https://platform.toloka.ai/task/41793355/00027db74b--652c79f0e013ff63cfef1080	00027db74b--652c72bba8ebdc7126d23f86	00027db74b--652c79f0e013ff63cfef1080	00027db74b--652c79f0e013ff63cfef1078	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:46:56.093	2023-10-15T23:47:45.531	2023-10-15T23:47:45.531	0.0300000000
364	тварь кинула в чёрный список а теперь подарки шлёшь, блядина	1	Кинула в черный список, а теперь подарки шлёшь	797	true				https://platform.toloka.ai/task/41793355/00027db74b--652c79f0e013ff63cfef1080	00027db74b--652c72bda8ebdc7126d24164	00027db74b--652c79f0e013ff63cfef1080	00027db74b--652c79f0e013ff63cfef1078	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:46:56.093	2023-10-15T23:47:45.531	2023-10-15T23:47:45.531	0.0300000000
8	внатури пидор по другому не назовешь	control	Этого человека сложно назвать цензурным словом	455	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c7a234f14b96d9b21c552	00027db74b--652c722467632923dd5e676e	00027db74b--652c7a234f14b96d9b21c552	00027db74b--652c7a234f14b96d9b21c550	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:47:47.555	2023-10-15T23:48:53.199	2023-10-15T23:48:53.199	0.0300000000
251	проёбаное поколение 90-х мы то как раз выживем а вот вы заморыши просто отребье	1	Поколение 90х мы то как раз выживет а вот вы	906	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7a234f14b96d9b21c552	00027db74b--652c72bca8ebdc7126d2406e	00027db74b--652c7a234f14b96d9b21c552	00027db74b--652c7a234f14b96d9b21c550	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:47:47.555	2023-10-15T23:48:53.199	2023-10-15T23:48:53.199	0.0300000000
455	ты знаешь что с тобой будет сучка	1	ты знаешь что с тобой будет	717	false				https://platform.toloka.ai/task/41793355/00027db74b--652c7a234f14b96d9b21c552	00027db74b--652c72bda8ebdc7126d2423b	00027db74b--652c7a234f14b96d9b21c552	00027db74b--652c7a234f14b96d9b21c550	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:47:47.555	2023-10-15T23:48:53.199	2023-10-15T23:48:53.199	0.0300000000
28	гнида конченая,стишки читать был орлом,а сейчас, когда надо отвечать,стал крысой, падаль а не мужик.слава богу, отец этого не узнает.	control	Раньше словр	881	false	false			https://platform.toloka.ai/task/41793355/00027db74b--652c7a689404dc38e65cb4dc	00027db74b--652c722467632923dd5e679e	00027db74b--652c7a689404dc38e65cb4dc	00027db74b--652c7a689404dc38e65cb4da	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:48:56.205	2023-10-15T23:50:46.506	2023-10-15T23:50:46.506	0.0300000000
545	да, номера наши по ходу. а вот то что наши чмошники перенимают всёдозволеность как у матрасников, это не отнять.	1	да, номера наши по ходу. а вот то что наши  перенимают всёдозволеность как у матрасников, это не отнять.	310	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7a689404dc38e65cb4dc	00027db74b--652c72bea8ebdc7126d24308	00027db74b--652c7a689404dc38e65cb4dc	00027db74b--652c7a689404dc38e65cb4da	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:48:56.205	2023-10-15T23:50:46.506	2023-10-15T23:50:46.506	0.0300000000
1	а ты чмо там был.ты вообще служил.гандон	1	А ты там был? Ты вообще служил?	423	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7a689404dc38e65cb4dc	00027db74b--652c72baa8ebdc7126d23e2c	00027db74b--652c7a689404dc38e65cb4dc	00027db74b--652c7a689404dc38e65cb4da	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:48:56.205	2023-10-15T23:50:46.506	2023-10-15T23:50:46.506	0.0300000000
710	еще бы в октябре блядь открыл придурок .	1	Ещё бы в октябре открыл	581	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7ad84f14b96d9b21edf0	00027db74b--652c72bfa8ebdc7126d244ba	00027db74b--652c7ad84f14b96d9b21edf0	00027db74b--652c7ad84f14b96d9b21eded	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:50:48.527	2023-10-15T23:51:57.858	2023-10-15T23:51:57.858	0.0300000000
32	дурачка , это же не купальник , а блядский наряд .	control	Это же не купальник, а что ни на есть наряд.	669	false	false			https://platform.toloka.ai/task/41793355/00027db74b--652c7ad84f14b96d9b21edf0	00027db74b--652c722467632923dd5e67a6	00027db74b--652c7ad84f14b96d9b21edf0	00027db74b--652c7ad84f14b96d9b21eded	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:50:48.527	2023-10-15T23:51:57.858	2023-10-15T23:51:57.858	0.0300000000
368	и не слушать всякое блядво западенское .	1	и не слушать всякие речи западные	670	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7ad84f14b96d9b21edf0	00027db74b--652c72bda8ebdc7126d2416c	00027db74b--652c7ad84f14b96d9b21edf0	00027db74b--652c7ad84f14b96d9b21eded	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:50:48.527	2023-10-15T23:51:57.858	2023-10-15T23:51:57.858	0.0300000000
406	надо как в саудовской аравии голову отрубить при честном народе ублюдку я убежден что он пьяный был сволочь ...	1	надо как в саудовской аравии наказать при честном народе, я убежден что он пьяный был	768	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7b1f67632923dd60773e	00027db74b--652c72bda8ebdc7126d241cf	00027db74b--652c7b1f67632923dd60773e	00027db74b--652c7b1f67632923dd607732	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:51:59.624	2023-10-15T23:52:56.429	2023-10-15T23:52:56.429	0.0320000000
153	вот был талант неспорю! а сейчас понобрали хуеплетов деньги платят а хули толку!	1	Вот это был бесспорный талант! А не то что сейчас, работают ради денег.	453	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7b1f67632923dd60773e	00027db74b--652c72bba8ebdc7126d23f98	00027db74b--652c7b1f67632923dd60773e	00027db74b--652c7b1f67632923dd607732	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:51:59.624	2023-10-15T23:52:56.429	2023-10-15T23:52:56.429	0.0320000000
35	за што судить за то чтоза себя постояла,этим тварям надо отрезать мужское достоинство и на зону,	control	Судить по закону или отдать на самосуд	225	false	false			https://platform.toloka.ai/task/41793355/00027db74b--652c7b1f67632923dd60773e	00027db74b--652c722467632923dd5e67ad	00027db74b--652c7b1f67632923dd60773e	00027db74b--652c7b1f67632923dd607732	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:51:59.624	2023-10-15T23:52:56.429	2023-10-15T23:52:56.429	0.0320000000
213	...или пиздабольши , скорее всего !	1	или вруньи скорее всего	388	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7b5ca8ebdc7126d3f3c0	00027db74b--652c72bca8ebdc7126d24020	00027db74b--652c7b5ca8ebdc7126d3f3c0	00027db74b--652c7b5ca8ebdc7126d3f3b9	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:53:00.807	2023-10-15T23:53:31.671	2023-10-15T23:53:31.671	0.0320000000
391	а у вовочки такая блядская семейка, что взяли хрен вернут:d	1	А у вовочки такая семейка, что взяли не вернут	368	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7b5ca8ebdc7126d3f3c0	00027db74b--652c72bda8ebdc7126d2419a	00027db74b--652c7b5ca8ebdc7126d3f3c0	00027db74b--652c7b5ca8ebdc7126d3f3b9	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:53:00.807	2023-10-15T23:53:31.671	2023-10-15T23:53:31.671	0.0320000000
27	выселить суку из крыма. но не в россию.	control	Но не в Россию	674	false	false			https://platform.toloka.ai/task/41793355/00027db74b--652c7b5ca8ebdc7126d3f3c0	00027db74b--652c722467632923dd5e679c	00027db74b--652c7b5ca8ebdc7126d3f3c0	00027db74b--652c7b5ca8ebdc7126d3f3b9	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:53:00.807	2023-10-15T23:53:31.671	2023-10-15T23:53:31.671	0.0320000000
266	В мясе нет крови, тупая пидораха	1	В мясе нет крови	726	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7b7d67632923dd608876	00027db74b--652c72bca8ebdc7126d2408e	00027db74b--652c7b7d67632923dd608876	00027db74b--652c7b7d67632923dd608871	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:53:33.258	2023-10-15T23:54:25.856	2023-10-15T23:54:25.856	0.0320000000
114	да ты бабуля уже всем нахамила, кому только было возможно. это твой образ жизни, быдлячий. искренне сочувствую домашним.	1	Бабушка, Вы уже всем нахамили, кому только было возможно. Это Ваш образ жизни, искренне сочувствую домашним.	55	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7b7d67632923dd608876	00027db74b--652c72bba8ebdc7126d23f44	00027db74b--652c7b7d67632923dd608876	00027db74b--652c7b7d67632923dd608871	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:53:33.258	2023-10-15T23:54:25.856	2023-10-15T23:54:25.856	0.0320000000
16	Да кому нужна твоя страница и пд? Пост бредовой паранои	control	Никому твоя страница не нужна.	863	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c7b7d67632923dd608876	00027db74b--652c722467632923dd5e6781	00027db74b--652c7b7d67632923dd608876	00027db74b--652c7b7d67632923dd608871	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:53:33.258	2023-10-15T23:54:25.856	2023-10-15T23:54:25.856	0.0320000000
22	а мы просим тебя иди нахуй	1	А мы просим Тебя уйти	864	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7bb367632923dd6092e9	00027db74b--652c72baa8ebdc7126d23e58	00027db74b--652c7bb367632923dd6092e9	00027db74b--652c7bb367632923dd6092e5	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:54:27.813	2023-10-15T23:55:05.912	2023-10-15T23:55:05.912	0.0320000000
9	все бухают, но не все же пидарасы!?!?	control	Все пьют, но не все же плохие	746	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c7bb367632923dd6092e9	00027db74b--652c722467632923dd5e6770	00027db74b--652c7bb367632923dd6092e9	00027db74b--652c7bb367632923dd6092e5	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:54:27.813	2023-10-15T23:55:05.912	2023-10-15T23:55:05.912	0.0320000000
787	учителю заплатили что бы ублюдок во второй класс не попал	1	Учителю заплатили чтобы он во второй класс не попал	887	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7bb367632923dd6092e9	00027db74b--652c72c0a8ebdc7126d2455d	00027db74b--652c7bb367632923dd6092e9	00027db74b--652c7bb367632923dd6092e5	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:54:27.813	2023-10-15T23:55:05.912	2023-10-15T23:55:05.912	0.0320000000
33	женишок то мой тут гад	control	Жених тут мой	408	false	false			https://platform.toloka.ai/task/41793355/00027db74b--652c7bdba8ebdc7126d41024	00027db74b--652c722467632923dd5e67a8	00027db74b--652c7bdba8ebdc7126d41024	00027db74b--652c7bdba8ebdc7126d4101c	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:55:07.588	2023-10-15T23:56:01.535	2023-10-15T23:56:01.535	0.0320000000
399	Когда чмо начинает кукарекать про отсутствие прогресса - он тупо занимается софистикой ради софистики	1	Когда человек начинает говорить про отсутствие прогресса - он занимается софистикой ради софистики	240	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7bdba8ebdc7126d41024	00027db74b--652c72bda8ebdc7126d241ac	00027db74b--652c7bdba8ebdc7126d41024	00027db74b--652c7bdba8ebdc7126d4101c	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:55:07.588	2023-10-15T23:56:01.535	2023-10-15T23:56:01.535	0.0320000000
298	какой идиот это составил? а я еще больший идиот, поскольку отвлекаюсь на эту ху..ю!	1	Кто вообще это составил? а я еще неразумнее, поскольку отвлекаюсь на эту чепуху!	506	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7bdba8ebdc7126d41024	00027db74b--652c72bca8ebdc7126d240cf	00027db74b--652c7bdba8ebdc7126d41024	00027db74b--652c7bdba8ebdc7126d4101c	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:55:07.588	2023-10-15T23:56:01.535	2023-10-15T23:56:01.535	0.0320000000
404	жируют твари и над народом издеваются.	1	Хорошо живут и над народом издеваются.	616	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7c134f14b96d9b222974	00027db74b--652c72bda8ebdc7126d241ca	00027db74b--652c7c134f14b96d9b222974	00027db74b--652c7c134f14b96d9b222970	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:56:03.153	2023-10-15T23:56:57.636	2023-10-15T23:56:57.636	0.0320000000
20	да кто вас спрашивать то будет. а лизунов засунуть туда где они лизали.	control	Вашим мнением никто не интересуется	66	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c7c134f14b96d9b222974	00027db74b--652c722467632923dd5e678b	00027db74b--652c7c134f14b96d9b222974	00027db74b--652c7c134f14b96d9b222970	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:56:03.153	2023-10-15T23:56:57.636	2023-10-15T23:56:57.636	0.0320000000
375	одессу никто не забыл выродок свинявый	1	одессу никто не забыл	787	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7c134f14b96d9b222974	00027db74b--652c72bda8ebdc7126d2417a	00027db74b--652c7c134f14b96d9b222974	00027db74b--652c7c134f14b96d9b222970	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:56:03.153	2023-10-15T23:56:57.636	2023-10-15T23:56:57.636	0.0320000000
13	глупышка! сильный пол, это ты! как вы заебали на странице!!! наебись ты наконец. сколько можно.	control	Сильный пол - это ты! Как вы надоели на этой странице.	190	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c7c4d4f14b96d9b2237e0	00027db74b--652c722467632923dd5e677a	00027db74b--652c7c4d4f14b96d9b2237e0	00027db74b--652c7c4c4f14b96d9b2237ce	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:57:01.049	2023-10-15T23:59:00.703	2023-10-15T23:59:00.703	0.0320000000
371	вы прежде чем такую хуйню выкладывать хоть сами то достоверность инфы проверяйте, а не играйте в сломанный телефон.	1	вы прежде чем такое выкладывать хоть сами то достоверность инфы проверяйте, а не играйте в сломанный телефон.	378	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7c4d4f14b96d9b2237e0	00027db74b--652c72bda8ebdc7126d24172	00027db74b--652c7c4d4f14b96d9b2237e0	00027db74b--652c7c4c4f14b96d9b2237ce	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:57:01.049	2023-10-15T23:59:00.703	2023-10-15T23:59:00.703	0.0320000000
431	америка за бугром их в месте с выводком за яйца давно держит	1	америка за бугром их всех месте с детьми в узде давно держит	778	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7c4d4f14b96d9b2237e0	00027db74b--652c72bda8ebdc7126d2420b	00027db74b--652c7c4d4f14b96d9b2237e0	00027db74b--652c7c4c4f14b96d9b2237ce	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:57:01.049	2023-10-15T23:59:00.703	2023-10-15T23:59:00.703	0.0320000000
738	такие же чувства пидоры эти спортсмены как и наши, которые в думе сидят.	1	Такие же чувства ,плохие эти спортсмены,как и наши,которые в думе сидят	140	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7cc667632923dd60cec1	00027db74b--652c72bfa8ebdc7126d244f8	00027db74b--652c7cc667632923dd60cec1	00027db74b--652c7cc667632923dd60ceb5	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:59:02.159	2023-10-15T23:59:35.739	2023-10-15T23:59:35.739	0.0320000000
1	блин в каком говне мы находимся.	control	мы находимся в весьма печальном положении	423	true	true			https://platform.toloka.ai/task/41793355/00027db74b--652c7cc667632923dd60cec1	00027db74b--652c722467632923dd5e6761	00027db74b--652c7cc667632923dd60cec1	00027db74b--652c7cc667632923dd60ceb5	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:59:02.159	2023-10-15T23:59:35.739	2023-10-15T23:59:35.739	0.0320000000
376	вы блять сперва старых садиков проверьте,	1	Вы сперва старых садиков проверьте	21	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7cc667632923dd60cec1	00027db74b--652c72bda8ebdc7126d2417c	00027db74b--652c7cc667632923dd60cec1	00027db74b--652c7cc667632923dd60ceb5	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:59:02.159	2023-10-15T23:59:35.739	2023-10-15T23:59:35.739	0.0320000000
105	блдь ... слов не хватает. вы о чём?	1	Слов не хватает о чем вы	158	true				https://platform.toloka.ai/task/41793355/00027db74b--652c7ce94f14b96d9b2255c3	00027db74b--652c72bba8ebdc7126d23f2f	00027db74b--652c7ce94f14b96d9b2255c3	00027db74b--652c7ce94f14b96d9b2255bd	dc20772406694ce5e8feae1620d26561	APPROVED	2023-10-15T23:59:37.305	2023-10-16T00:00:29.095	2023-10-16T00:00:29.095	0.0320000000
