INPUT:premise	INPUT:hypothesis	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
— А оттуда пешком. По Кузнецкому и далее. — Думаешь, все твои драгоценные книжные продолжают существовать?	Все твои драгоценные книжные продолжают существовать?	1	3			https://platform.toloka.ai/task/42365874/00028673b2--6566279cedc5b13fcc97dac7	00028673b2--65661c84a837516761fe51cb	00028673b2--6566279cedc5b13fcc97dac7	00028673b2--6566279cedc5b13fcc97dac5	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:47:08.301	2023-11-28T17:49:26.553	2023-11-28T17:49:26.553	0.0320000000
Согласно сообщению Кипрского координационного комитета городских такси, решение о проведении забастовки было принято после серии безрезультатных встреч с руководством компетентных ведомств.	Таксисты Кипра бастовали после серии безрезультатных встреч с руководством компетентных ведомств.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566279cedc5b13fcc97dac7	00028673b2--65661c9b2eae777d413cf1b5	00028673b2--6566279cedc5b13fcc97dac7	00028673b2--6566279cedc5b13fcc97dac5	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:47:08.301	2023-11-28T17:49:26.553	2023-11-28T17:49:26.553	0.0320000000
— Почему мама хочет внуков, мне понятно. Она женщина, в ней природой заложен инстинкт продолжения рода. Но почему по этой причине я должен заводить семью, убей Бог, не пойму.	По этой причине я должен заводить семью.	1				https://platform.toloka.ai/task/42365874/00028673b2--65662828ed57be7c615d1957	00028673b2--65661c962eae777d413cee66	00028673b2--65662828ed57be7c615d1957	00028673b2--65662828ed57be7c615d1952	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:49:28.129	2023-11-28T17:51:19.239	2023-11-28T17:51:19.239	0.0300000000
— Если бы у меня был мел, я бы разрисовал им парадное, — сказал я, — первый раз вижу не разрисованное мелом парадное.	Первый раз парадное не разрисовано мелом.	1	3			https://platform.toloka.ai/task/42365874/00028673b2--65662828ed57be7c615d1957	00028673b2--65661c84a837516761fe51df	00028673b2--65662828ed57be7c615d1957	00028673b2--65662828ed57be7c615d1952	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:49:28.129	2023-11-28T17:51:19.239	2023-11-28T17:51:19.239	0.0300000000
Себе врала, что из-за денег, что в доме, видите ли, нужны «мужские руки», а сама? Первое время просто кокетничала. Думала — так, для тонуса.	В доме нужны мужские руки.	1				https://platform.toloka.ai/task/42365874/00028673b2--65662828ed57be7c615d1957	00028673b2--65661c982eae777d413cef88	00028673b2--65662828ed57be7c615d1957	00028673b2--65662828ed57be7c615d1952	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:49:28.129	2023-11-28T17:51:19.239	2023-11-28T17:51:19.239	0.0300000000
И тут на меня нашло. Как помню, в первый раз жизни защемило сердце. Позже стал осознавать, что так проявляет себя моя тревожность.	Так проявляет себя моя тревожность.	1	1			https://platform.toloka.ai/task/42365874/00028673b2--656628471e0df1629af1695c	00028673b2--65661c84a837516761fe51e3	00028673b2--656628471e0df1629af1695c	00028673b2--656628471e0df1629af16956	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:49:59.877	2023-11-28T17:50:30.576	2023-11-28T17:50:30.576	0.0300000000
Свидетели утверждают, что открытие станции спровоцировало давку в вестибюле. По факту случившегося проводится проверка. В полиции считают, что плафон могли разбить хулиганы.	Плафон могли разбить хулиганы.	1				https://platform.toloka.ai/task/42365874/00028673b2--656628471e0df1629af1695c	00028673b2--65661c952eae777d413cedf1	00028673b2--656628471e0df1629af1695c	00028673b2--656628471e0df1629af16956	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:49:59.877	2023-11-28T17:50:30.576	2023-11-28T17:50:30.576	0.0300000000
Главный тренер соперников решил мотивировать своих игроков необычным способом.	Тренер соперников отказался мотивировать своих игроков.	2				https://platform.toloka.ai/task/42365874/00028673b2--656628471e0df1629af1695c	00028673b2--65661c9b2eae777d413cf1b1	00028673b2--656628471e0df1629af1695c	00028673b2--656628471e0df1629af16956	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:49:59.877	2023-11-28T17:50:30.576	2023-11-28T17:50:30.576	0.0300000000
Он ей рисунки свои носил, а она исправляла. Все ему исправляла. И критиковала за ставни закрытые, говорила — окно, чтоб смотреть на мир.	На его рисунках были открыты ставни.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--6566286873f0bd2e80d68f9c	00028673b2--65661c85a837516761fe51f9	00028673b2--6566286873f0bd2e80d68f9c	00028673b2--6566286873f0bd2e80d68f98	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:50:32.240	2023-11-28T17:51:19.131	2023-11-28T17:51:19.131	0.0300000000
Себе я врала, что из-за денег, что в доме, видите ли, нужны «мужские руки», а сама? Первое время просто кокетничала. Думала — так, для тонуса.	Это я из-за денег.	2				https://platform.toloka.ai/task/42365874/00028673b2--6566286873f0bd2e80d68f9c	00028673b2--65661c9a2eae777d413cf162	00028673b2--6566286873f0bd2e80d68f9c	00028673b2--6566286873f0bd2e80d68f98	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:50:32.240	2023-11-28T17:51:19.131	2023-11-28T17:51:19.131	0.0300000000
Или не хотел? Я уверен, что он хотел. Он хотел сказать: это вам.	Это вам.	3				https://platform.toloka.ai/task/42365874/00028673b2--6566286873f0bd2e80d68f9c	00028673b2--65661c992eae777d413cf0c9	00028673b2--6566286873f0bd2e80d68f9c	00028673b2--6566286873f0bd2e80d68f98	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:50:32.240	2023-11-28T17:51:19.131	2023-11-28T17:51:19.131	0.0300000000
Как я бросил? А просто, шагая по длинной улице, понял: пора бросать. И, помню, задержал глаза на щитке с краю тротуара.	С краю тротуара не было щитка.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--6566289872d52b5a02117f4b	00028673b2--65661c84a837516761fe51d1	00028673b2--6566289872d52b5a02117f4b	00028673b2--6566289872d52b5a02117f42	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:51:20.800	2023-11-28T17:52:13.760	2023-11-28T17:52:13.760	0.0300000000
"О том, что идут где-то бои, можно было догадываться, как обычно, потому, что шли бои местного значения, а танков разбивали очень много. Но мне все же непонятно — в чем смысл этого удара. Правда, ""наши женщины рожают"", но следовало бы экономить русскую кровь."	Идут где-то бои.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566289872d52b5a02117f4b	00028673b2--65661c982eae777d413cf02c	00028673b2--6566289872d52b5a02117f4b	00028673b2--6566289872d52b5a02117f42	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:51:20.800	2023-11-28T17:52:13.760	2023-11-28T17:52:13.760	0.0300000000
Его судили за кражу и убийство.	Не было ни кражи, ни убийства.	2				https://platform.toloka.ai/task/42365874/00028673b2--6566289872d52b5a02117f4b	00028673b2--65661c982eae777d413cefd2	00028673b2--6566289872d52b5a02117f4b	00028673b2--6566289872d52b5a02117f42	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:51:20.800	2023-11-28T17:52:13.760	2023-11-28T17:52:13.760	0.0300000000
Себе я врала, что из-за денег, что в доме, видите ли, нужны «мужские руки», а сама? Первое время просто кокетничала. Думала — так, для тонуса.	Это я из-за денег.	2				https://platform.toloka.ai/task/42365874/00028673b2--6566289aed57be7c615d2e69	00028673b2--65661c9a2eae777d413cf162	00028673b2--6566289aed57be7c615d2e69	00028673b2--6566289aed57be7c615d2e65	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:51:22.738	2023-11-28T17:53:36.033	2023-11-28T17:53:36.033	0.0300000000
Вон сколько учебников валяется на полу. — Их нельзя трогать! Ни в коем случае, как ты мог так подумать?..	Учебники можно трогать	2				https://platform.toloka.ai/task/42365874/00028673b2--6566289aed57be7c615d2e69	00028673b2--65661c962eae777d413ceeb7	00028673b2--6566289aed57be7c615d2e69	00028673b2--6566289aed57be7c615d2e65	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:51:22.738	2023-11-28T17:53:36.033	2023-11-28T17:53:36.033	0.0300000000
Его коллеги по партии считают, что ничего противозаконного он не совершал.	У него нет коллег по партии.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--6566289aed57be7c615d2e69	00028673b2--65661c84a837516761fe51dd	00028673b2--6566289aed57be7c615d2e69	00028673b2--6566289aed57be7c615d2e65	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:51:22.738	2023-11-28T17:53:36.033	2023-11-28T17:53:36.033	0.0300000000
Душа сказала мне давно: Ты в мире молнией промчишься!	Ты в мире молнией промчишься!	1				https://platform.toloka.ai/task/42365874/00028673b2--656628cf1e0df1629af180e1	00028673b2--65661c962eae777d413ceea0	00028673b2--656628cf1e0df1629af180e1	00028673b2--656628cf1e0df1629af180dd	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:52:15.248	2023-11-28T17:53:00.347	2023-11-28T17:53:00.347	0.0300000000
Подозревают его в краже.	Он расследует кражи.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656628cf1e0df1629af180e1	00028673b2--65661c84a837516761fe51e1	00028673b2--656628cf1e0df1629af180e1	00028673b2--656628cf1e0df1629af180dd	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:52:15.248	2023-11-28T17:53:00.347	2023-11-28T17:53:00.347	0.0300000000
 Полное лунное затмение. Кажется, это бывает очень редко, чуть ли не раз в шестьдесят лет, хотя точно я не помню. Может быть, я ошибаюсь. Я вообще уже ничего не помню.	Полное лунное затмение бывает очень редко, чуть ли не раз в шестьдесят лет.	1				https://platform.toloka.ai/task/42365874/00028673b2--656628cf1e0df1629af180e1	00028673b2--65661c992eae777d413cf103	00028673b2--656628cf1e0df1629af180e1	00028673b2--656628cf1e0df1629af180dd	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:52:15.248	2023-11-28T17:53:00.347	2023-11-28T17:53:00.347	0.0300000000
Его коллеги по партии считают, что ничего противозаконного он не совершал.	У него нет коллег по партии.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656628fe2eae777d413f06c1	00028673b2--65661c84a837516761fe51dd	00028673b2--656628fe2eae777d413f06c1	00028673b2--656628fe2eae777d413f06bb	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:53:02.110	2023-11-28T17:53:52.686	2023-11-28T17:53:52.686	0.0320000000
Согласно сообщению Кипрского координационного комитета городских такси, решение о проведении забастовки было принято после серии безрезультатных встреч с руководством компетентных ведомств.	Таксисты Кипра бастовали после серии безрезультатных встреч с руководством компетентных ведомств.	1				https://platform.toloka.ai/task/42365874/00028673b2--656628fe2eae777d413f06c1	00028673b2--65661c9b2eae777d413cf1b5	00028673b2--656628fe2eae777d413f06c1	00028673b2--656628fe2eae777d413f06bb	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:53:02.110	2023-11-28T17:53:52.686	2023-11-28T17:53:52.686	0.0320000000
— Почему мама хочет внуков, мне понятно. Она женщина, в ней природой заложен инстинкт продолжения рода. Но почему по этой причине я должен заводить семью, убей Бог, не пойму.	По этой причине я должен заводить семью.	3				https://platform.toloka.ai/task/42365874/00028673b2--656628fe2eae777d413f06c1	00028673b2--65661c962eae777d413cee66	00028673b2--656628fe2eae777d413f06c1	00028673b2--656628fe2eae777d413f06bb	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:53:02.110	2023-11-28T17:53:52.686	2023-11-28T17:53:52.686	0.0320000000
Плохо, действительно плохо — и это не пройдет — было то, что со мной и теперь могло случиться нечто подобное, и не только случиться, но и ранить. Меня, который был уверен, что открыл мудрость бессмертия, меня, который был уверен, что панцирь этой мудрости делает человека недоступным для ударов жизни. Кто верил, что ничто не может его взволновать, потрясти, ничто его не поколеблет?	Ничто не может его взволновать, потрясти, ничто его не поколеблет.	1				https://platform.toloka.ai/task/42365874/00028673b2--65662921ee8fa644884e0677	00028673b2--65661c982eae777d413cf024	00028673b2--65662921ee8fa644884e0677	00028673b2--65662921ee8fa644884e0674	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:53:37.575	2023-11-28T17:55:04.983	2023-11-28T17:55:04.983	0.0300000000
Самообман и был. А вернее — был грандиозный обман! Можно спорить.	Был самообман или был грандиозный обман.	1				https://platform.toloka.ai/task/42365874/00028673b2--65662921ee8fa644884e0677	00028673b2--65661c9b2eae777d413cf1d8	00028673b2--65662921ee8fa644884e0677	00028673b2--65662921ee8fa644884e0674	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:53:37.575	2023-11-28T17:55:04.983	2023-11-28T17:55:04.983	0.0300000000
Я добиваюсь того, чтобы мои голоса не крали. Я добиваюсь того, чтобы люди поняли, что их много, и они вместе.	Людей много, и они вместе.	1	1			https://platform.toloka.ai/task/42365874/00028673b2--65662921ee8fa644884e0677	00028673b2--65661c85a837516761fe51f1	00028673b2--65662921ee8fa644884e0677	00028673b2--65662921ee8fa644884e0674	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:53:37.575	2023-11-28T17:55:04.983	2023-11-28T17:55:04.983	0.0300000000
– Сейчас, сейчас, – говорил дед, – мне тут уже немного.	Деду оставалось уже немного.	1	3			https://platform.toloka.ai/task/42365874/00028673b2--65662933e1bebf42ba028b19	00028673b2--65661c85a837516761fe51eb	00028673b2--65662933e1bebf42ba028b19	00028673b2--65662933e1bebf42ba028b0b	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:53:55.656	2023-11-28T17:54:27.109	2023-11-28T17:54:27.109	0.0320000000
В отдел полиции «Центральный» областного центра обратился местный житель, который сообщил полицейским, что подозревает свою домработницу в краже денег.	Домработница украла у местного жителя деньги.	3				https://platform.toloka.ai/task/42365874/00028673b2--65662933e1bebf42ba028b19	00028673b2--65661c9b2eae777d413cf1ad	00028673b2--65662933e1bebf42ba028b19	00028673b2--65662933e1bebf42ba028b0b	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:53:55.656	2023-11-28T17:54:27.109	2023-11-28T17:54:27.109	0.0320000000
Другое дело, что и мы и мировые агентства составляем рейтинг спортсменов и прикидываем, кто может претендовать на медали. Но это лишь прогнозы. У нас слишком мало мировых лидеров - их меньше, чем пальцев на одной руке, и гарантировать, что все они обойдутся без травм, не очень разумно.	Все они обойдутся без травм.	3				https://platform.toloka.ai/task/42365874/00028673b2--65662933e1bebf42ba028b19	00028673b2--65661c942eae777d413cede0	00028673b2--65662933e1bebf42ba028b19	00028673b2--65662933e1bebf42ba028b0b	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:53:55.656	2023-11-28T17:54:27.109	2023-11-28T17:54:27.109	0.0320000000
Все, что не твое, — чужое. Как ни странно, так  думает большинство людей. Хотя иные считают, что все, не имеющее владельца, — принадлежит тому, кто нашел.	Все, не имеющее владельца, — принадлежит тому, кто нашел.	1				https://platform.toloka.ai/task/42365874/00028673b2--65662954cfe2fd19c7d8ce1e	00028673b2--65661c962eae777d413ceebb	00028673b2--65662954cfe2fd19c7d8ce1e	00028673b2--65662954cfe2fd19c7d8ce1c	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:54:28.894	2023-11-28T17:55:15.135	2023-11-28T17:55:15.135	0.0300000000
Сначала приставы вынесли запрет регистрационных действий в отношении автомобиля. Но это не подействовало. Должник и не думал появляться в их отделе.	Должник появился в отделе у приставов.	2				https://platform.toloka.ai/task/42365874/00028673b2--65662954cfe2fd19c7d8ce1e	00028673b2--65661c982eae777d413cf03c	00028673b2--65662954cfe2fd19c7d8ce1e	00028673b2--65662954cfe2fd19c7d8ce1c	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:54:28.894	2023-11-28T17:55:15.135	2023-11-28T17:55:15.135	0.0300000000
Оцените свои возможности. Кому надо, сходите в туалет сейчас. Тем, у кого хронические заболевания - если нужна помощь, скажите об этом.	Им нужна помощь.	3	2			https://platform.toloka.ai/task/42365874/00028673b2--65662954cfe2fd19c7d8ce1e	00028673b2--65661c85a837516761fe5201	00028673b2--65662954cfe2fd19c7d8ce1e	00028673b2--65662954cfe2fd19c7d8ce1c	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:54:28.894	2023-11-28T17:55:15.135	2023-11-28T17:55:15.135	0.0300000000
Его судили за кражу и убийство.	Не было ни кражи, ни убийства.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566296172d52b5a0211a0b6	00028673b2--65661c982eae777d413cefd2	00028673b2--6566296172d52b5a0211a0b6	00028673b2--6566296172d52b5a0211a0b4	423ba45de152ae8c579a7f7a6f16c0b0	APPROVED	2023-11-28T17:54:41.984	2023-11-28T17:55:20.580	2023-11-28T17:55:20.580	0.0300000000
Но работал он уже не долго. Он стал как-то быстро сдавать, с трудом двигался и еле вставал с кресла; а потом у него нашли рак. Рак был в такой запущенной форме, что нельзя было даже сказать, чего это рак, это был рак всего.	Это был рак чего-токонкретного.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566296172d52b5a0211a0b6	00028673b2--65661c992eae777d413cf109	00028673b2--6566296172d52b5a0211a0b6	00028673b2--6566296172d52b5a0211a0b4	423ba45de152ae8c579a7f7a6f16c0b0	APPROVED	2023-11-28T17:54:41.984	2023-11-28T17:55:20.580	2023-11-28T17:55:20.580	0.0300000000
Он требовал убрать с кровати прелые листья и еловый валежник. В помещении устоялся запах ладана, от него пошли мысли похоронах. Он надеялся на чудо.	С кровати убрали прелые листья и еловый валежник.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--6566296172d52b5a0211a0b6	00028673b2--65661c84a837516761fe51d7	00028673b2--6566296172d52b5a0211a0b6	00028673b2--6566296172d52b5a0211a0b4	423ba45de152ae8c579a7f7a6f16c0b0	APPROVED	2023-11-28T17:54:41.984	2023-11-28T17:55:20.580	2023-11-28T17:55:20.580	0.0300000000
Говорил ведь, жди в парадной, пока она не выйдет. - Что ты ворчишь? - сказал я.	Ты ворчишь.	1	1			https://platform.toloka.ai/task/42365874/00028673b2--6566297c7cb6b51d6772f8e3	00028673b2--65661c85a837516761fe51ed	00028673b2--6566297c7cb6b51d6772f8e3	00028673b2--6566297c7cb6b51d6772f8e1	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:55:08.472	2023-11-28T17:56:02.414	2023-11-28T17:56:02.414	0.0300000000
Главный тренер соперников решил мотивировать своих игроков необычным способом.	Тренер соперников отказался мотивировать своих игроков.	2				https://platform.toloka.ai/task/42365874/00028673b2--6566297c7cb6b51d6772f8e3	00028673b2--65661c9b2eae777d413cf1b1	00028673b2--6566297c7cb6b51d6772f8e3	00028673b2--6566297c7cb6b51d6772f8e1	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:55:08.472	2023-11-28T17:56:02.414	2023-11-28T17:56:02.414	0.0300000000
Все, что не твое, — чужое. Как ни странно, так  думает большинство людей. Хотя иные считают, что все, не имеющее владельца, — принадлежит тому, кто нашел.	Все, не имеющее владельца, — принадлежит тому, кто нашел.	1				https://platform.toloka.ai/task/42365874/00028673b2--6566297c7cb6b51d6772f8e3	00028673b2--65661c962eae777d413ceebb	00028673b2--6566297c7cb6b51d6772f8e3	00028673b2--6566297c7cb6b51d6772f8e1	613cd9c009dce0c9dbdfed7a4fc2aa64	APPROVED	2023-11-28T17:55:08.472	2023-11-28T17:56:02.414	2023-11-28T17:56:02.414	0.0300000000
Плохо, действительно плохо — и это не пройдет — было то, что со мной и теперь могло случиться нечто подобное, и не только случиться, но и ранить. Меня, который был уверен, что открыл мудрость бессмертия, меня, который был уверен, что панцирь этой мудрости делает человека недоступным для ударов жизни. Кто верил, что ничто не может его взволновать, потрясти, ничто его не поколеблет?	Ничто не может его взволновать, потрясти, ничто его не поколеблет.	2				https://platform.toloka.ai/task/42365874/00028673b2--65662984ed57be7c615d553e	00028673b2--65661c982eae777d413cf024	00028673b2--65662984ed57be7c615d553e	00028673b2--65662984ed57be7c615d553b	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:55:16.945	2023-11-28T17:56:54.908	2023-11-28T17:56:54.908	0.0300000000
После этого отпустили. Тут-то все и началось. Шофер решил не мириться с этим и исправить свою судьбу.	Шофер не смирился с этим и исправил свою судьбу.	3	1			https://platform.toloka.ai/task/42365874/00028673b2--65662984ed57be7c615d553e	00028673b2--65661c84a837516761fe51db	00028673b2--65662984ed57be7c615d553e	00028673b2--65662984ed57be7c615d553b	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:55:16.945	2023-11-28T17:56:54.908	2023-11-28T17:56:54.908	0.0300000000
Но работал он уже не долго. Он стал как-то быстро сдавать, с трудом двигался и еле вставал с кресла; а потом у него нашли рак. Рак был в такой запущенной форме, что нельзя было даже сказать, чего это рак, это был рак всего.	Это был рак чего-токонкретного.	2				https://platform.toloka.ai/task/42365874/00028673b2--65662984ed57be7c615d553e	00028673b2--65661c992eae777d413cf109	00028673b2--65662984ed57be7c615d553e	00028673b2--65662984ed57be7c615d553b	6e619139a70eda9939dddebb9dee401a	APPROVED	2023-11-28T17:55:16.945	2023-11-28T17:56:54.908	2023-11-28T17:56:54.908	0.0300000000
