INPUT:replic	INPUT:answer_1	INPUT:answer_2	INPUT:target_group	OUTPUT:answer_output	GOLDEN:answer_output	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
Шлюха и Куколд должны на коленях ползти в Италию и умолять Кареру вернутся.правильный фикс	"""Шлюха и Куколд должны на коленях ползти в Белоруссию и умолять Кононова вернуться""? ну вот теперь финальный фикс А если серьезно, то Ваноли, возможно, и не такой плохой вариант."	Думаешь им там не поебать? Они же там говорящие головы на подсосе у рептилоидов. Смена кукол это иллюзия выбора для лошков. Настоящие пацаны понимают этот расклад	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b16e1325603e6ef3b55	000280e676--654025b049bf6d25f0b6abce	000280e676--65402b16e1325603e6ef3b55	000280e676--65402b16e1325603e6ef3b4e	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:50.625	2023-10-30T22:16:16.476	2023-10-30T22:16:16.476	0.0320000000
Дурак ты блядь, ну не понял я тебя. Я не вношу изменение в конструкцию. Чё тебе ещё надо? скажи если что по делу есть сказать. Поэтому я и создал тред, спросить, потому что сам может не догоняю. , а ты пидор. Ну подскажи если соображаешь	а ты пидор Нет, точно не я кек	разуй глаза даун и почитай инструкцию прежде чем сообщение на форум писать	лгбт	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402b16e1325603e6ef3b55	000280e676--654025a02d0f5e27572ddcc3	000280e676--65402b16e1325603e6ef3b55	000280e676--65402b16e1325603e6ef3b4e	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:15:50.625	2023-10-30T22:16:16.476	2023-10-30T22:16:16.476	0.0320000000
Это твоя методичка хуесос. Ты же за обэму? За обэму а обэма квакал что совки только галоши делать и умели и даже едой себя обеспечить не могли. Так чего у тебя в 90е вывезли? Галоши?	мда, диванный курс политологии от тупого говна	Я не за обэму - я против тебя, гнилой хуесос и пидомразь.	лгбт	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402b20f83f2e52cc77ac04	000280e676--654025a02d0f5e27572ddcb9	000280e676--65402b20f83f2e52cc77ac04	000280e676--65402b1ff83f2e52cc77abfd	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:00.026	2023-10-30T22:16:18.245	2023-10-30T22:16:18.245	0.0320000000
Малком будет ебатьЖён, подруг, сестёр и матерей болельщиков еенита когда ему наскучит анька	Ты так критично настроен к Малку? Надо же.	Пидораска тупорылая, нацепи значок Марселя.	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b20f83f2e52cc77ac04	000280e676--654025af49bf6d25f0b6aac5	000280e676--65402b20f83f2e52cc77ac04	000280e676--65402b1ff83f2e52cc77abfd	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:00.026	2023-10-30T22:16:18.245	2023-10-30T22:16:18.245	0.0320000000
гомосолдатка детектед Подумал даг, решив шугануть ухтинского вертухая)	когда ссышься хачей на генетическом уровне	Ты прав, Аркаша, — твоя жопа шире, срать удобней!	национальность	1				https://platform.toloka.ai/task/42002038/000280e676--65402b20f83f2e52cc77ac04	000280e676--654025b149bf6d25f0b6ac3e	000280e676--65402b20f83f2e52cc77ac04	000280e676--65402b1ff83f2e52cc77abfd	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:00.026	2023-10-30T22:16:18.245	2023-10-30T22:16:18.245	0.0320000000
господ магов. Проорал. Картавые дети шлюх и мудил не могут быть магами, они могут быть только картавыми детьми шлюх и мудил.	Сам ты картавый мудила! Это цитата? Или это ты так пошутил? Прикрой свой ебаный рот, пидор	То что у тебя папа еврей, который бросил твою мать шлюху мы уже поняли. Можешь больше не повторяться.	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b32e1325603e6ef3f7a	000280e676--654025af49bf6d25f0b6ab33	000280e676--65402b32e1325603e6ef3f7a	000280e676--65402b32e1325603e6ef3f6e	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:16:18.306	2023-10-30T22:17:40.443	2023-10-30T22:17:40.443	0.0320000000
Малком будет ебатьЖён, подруг, сестёр и матерей болельщиков еенита когда ему наскучит анька	Ты так критично настроен к Малку? Надо же.	Пидораска тупорылая, нацепи значок Марселя.	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b32e1325603e6ef3f7a	000280e676--654025af49bf6d25f0b6aac5	000280e676--65402b32e1325603e6ef3f7a	000280e676--65402b32e1325603e6ef3f6e	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:16:18.306	2023-10-30T22:17:40.443	2023-10-30T22:17:40.443	0.0320000000
ладно смотрящий ака книжный червь в ряльности ты же долбаеб неряльный который девочкам бабки кидает чтобы они пообщались с тобой ЛИБО же написывает им по кд чтобы внимание на такого долбаеба как ты обратили ты всего лишь фантомный житель мм топика 22 год на дворе а ты все сидишь и пытаешься няшку на твиче найти или вот это как ево прозвать ся смотрящем топика цель в жизни достигнута галочку поставить можно , но все же не забывай про сущность свою двуликую. которая никому не интересна бро	оу да, как же я люблю диванную аналитику. Прочитал сообщение и уже все обо мне знаешь. Поди курсик психологии закончил, да? Так вот, иди жри говно свое же пидорское со своим нахуй никому ненужным мнением	Понятно блядье а че скажешь на то что у меня хуй воняет ? Мне реально жаль тебя. Чисто в теории себя поставить в твое положение я бы себя убил либо на мефчик присел пожизненно. Брооо пора новые слова в лексикон вводить алкаш щас модное.	мужчины	1	2			https://platform.toloka.ai/task/42002038/000280e676--65402b32e1325603e6ef3f7a	000280e676--654025a02d0f5e27572ddca1	000280e676--65402b32e1325603e6ef3f7a	000280e676--65402b32e1325603e6ef3f6e	1a0c3366861b366aa75d5751c6468bda	APPROVED	2023-10-30T22:16:18.306	2023-10-30T22:17:40.443	2023-10-30T22:17:40.443	0.0320000000
Но большая часть восточной Украины тоже симпатизирует русскимда отключите вы им телевизор уже, они же русскую пропаганду смотрят. На Донбассе тоже вон насмотрелиь - теперь охуевают с российского мира.	ну ты же у нас не такой, вот ты точно правильные каналы смотришь, где всю правду говорят и никак иначе	Бесполезно. Иначе откуда хохлы лучше всех знают, что сказали Соловьёв и Скабеева?	национальность	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402b33e1325603e6ef3f92	000280e676--654025a02d0f5e27572ddca3	000280e676--65402b33e1325603e6ef3f92	000280e676--65402b33e1325603e6ef3f90	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:19.579	2023-10-30T22:16:49.949	2023-10-30T22:16:49.949	0.0320000000
"Потому что с доходами выше определённого уровня заработать на проститутку можно быстрее, чем двигать тазом перед ""бесплатной"" тян."	Если для тебя попиздеть ни о чем с тян это что-то нехорошее, что нужно заменить покупкой проституток, то тогда да, тебе лучше покупать проституток - не отнимай время у нормальных тян, пусть они это время на нас тратят.	че тя это так бесит? Вьетнамские флешбеки как папка заставлял отрабатывать его друзьям под столом за бутерброд со шпротами? Откуда такая ненависть, если не из собственного опыта? До сих пор очко чешется, но боишься себе признаться, что хочешь крепкий хуй, вот и переносишь свои переживания на женщин	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b33e1325603e6ef3f92	000280e676--654025b149bf6d25f0b6ac4a	000280e676--65402b33e1325603e6ef3f92	000280e676--65402b33e1325603e6ef3f90	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:19.579	2023-10-30T22:16:49.949	2023-10-30T22:16:49.949	0.0320000000
Песков все правильно сказал При виде этого фбк хочется ему въебать только мне?	о новый утырок въеби говна чел	Для того, чтобы компетентно высказаваться по подобному вопросу, мне необходимо больше знаний по теме	мужчины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b33e1325603e6ef3f92	000280e676--654025b049bf6d25f0b6ab93	000280e676--65402b33e1325603e6ef3f92	000280e676--65402b33e1325603e6ef3f90	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:19.579	2023-10-30T22:16:49.949	2023-10-30T22:16:49.949	0.0320000000
Шлюха и Куколд должны на коленях ползти в Италию и умолять Кареру вернутся.правильный фикс	"""Шлюха и Куколд должны на коленях ползти в Белоруссию и умолять Кононова вернуться""? ну вот теперь финальный фикс А если серьезно, то Ваноли, возможно, и не такой плохой вариант."	Думаешь им там не поебать? Они же там говорящие головы на подсосе у рептилоидов. Смена кукол это иллюзия выбора для лошков. Настоящие пацаны понимают этот расклад	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b3e663d1a14a033b13f	000280e676--654025b049bf6d25f0b6abce	000280e676--65402b3e663d1a14a033b13f	000280e676--65402b3e663d1a14a033b13c	46555c2fdffa5c5c63597034b477e10f	APPROVED	2023-10-30T22:16:30.834	2023-10-30T22:17:02.457	2023-10-30T22:17:02.457	0.0320000000
Жопошник здесь только ты, мальчонка с надутой грудкой в попытке казаться большим и грозным. Ты двух разных людей отметил вообще. Лично мне абсолютно похуй на то, у кого там какая трансмиссия, пока они не начинают рассказывать, какая петушиная охуенная. Тогда лениво включаюсь в разговор, периодически постукивая ремонтозависимым запчастезаменоголовым крепчайшей головой увитого мощными венами члена по губам. Они обычно благодарят. Иногда смущаются.	Кто о чем, а пидор о хуях.	ты настуолько тупой, что спорить с тобой бесполезно	лгбт	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402b3e663d1a14a033b13f	000280e676--654025a02d0f5e27572ddca9	000280e676--65402b3e663d1a14a033b13f	000280e676--65402b3e663d1a14a033b13c	46555c2fdffa5c5c63597034b477e10f	APPROVED	2023-10-30T22:16:30.834	2023-10-30T22:17:02.457	2023-10-30T22:17:02.457	0.0320000000
гомосолдатка детектед Подумал даг, решив шугануть ухтинского вертухая)	когда ссышься хачей на генетическом уровне	Ты прав, Аркаша, — твоя жопа шире, срать удобней!	национальность	1				https://platform.toloka.ai/task/42002038/000280e676--65402b3e663d1a14a033b13f	000280e676--654025b149bf6d25f0b6ac3e	000280e676--65402b3e663d1a14a033b13f	000280e676--65402b3e663d1a14a033b13c	46555c2fdffa5c5c63597034b477e10f	APPROVED	2023-10-30T22:16:30.834	2023-10-30T22:17:02.457	2023-10-30T22:17:02.457	0.0320000000
С олигархов проорал))) Пригожинские шестерки умеют свои 15 рублей отрабатывать	Нет) это настолько толсто, что только самые отбитейшие дегенераты (процентов 5) поведутся на такое	Каждый зарабатывает так, как умеет, так что нечему тут удивляться. Тем более за такие деньги	другое	1				https://platform.toloka.ai/task/42002038/000280e676--65402b48e1325603e6ef4275	000280e676--654025b049bf6d25f0b6abd2	000280e676--65402b48e1325603e6ef4275	000280e676--65402b47e1325603e6ef4271	aac62ec300f46705ae35609cc084f9b8	APPROVED	2023-10-30T22:16:40.034	2023-10-30T22:17:21.039	2023-10-30T22:17:21.039	0.0320000000
с твоим то вкусом на инфоцыганскую парашуу меня вообще вкуса нет, поэтому и спрашиваю знающих людей. а твой тейк про генетическое уродство это просто замечательно. манера речи это привычка. если бы я рос в среде интеллектуалов, то я бы общался как интеллектуал в независимости от своего интеллекта, так что твоя фашистская хуета тут вообще не к месту	Вкуса у тебя так же нет потому что ты дегенерат биологический.А хочешь мнения знающих людей - потому что низкопримативный, потому что уродцы в дикой природе всегда низкопримативны в стаях. Отсюда кстати тоже твоя неуверенность. И да это не лечится. Ты рожден страдать, как Франкештейн.	да уж сразу видно, что рос ты не в среде интеллектуалов, а в среде политических шлюх, которые переобучаются чаще, чем на хую бывают	мужчины	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402b48e1325603e6ef4275	000280e676--654025a02d0f5e27572ddcc5	000280e676--65402b48e1325603e6ef4275	000280e676--65402b47e1325603e6ef4271	aac62ec300f46705ae35609cc084f9b8	APPROVED	2023-10-30T22:16:40.034	2023-10-30T22:17:21.039	2023-10-30T22:17:21.039	0.0320000000
Осел еабный, проебешь все. Ставить надо 10-20% банка	Я бы всё поставил, да нету ни хуя. А мог бы триллиардером стать с такими ставками. Сомневаешься?	я по 25% ставлюты че думаешь я долбаеб китайцы пидарасы просто фри игры вчера заливали как мрази	другое	2				https://platform.toloka.ai/task/42002038/000280e676--65402b48e1325603e6ef4275	000280e676--654025af49bf6d25f0b6aa91	000280e676--65402b48e1325603e6ef4275	000280e676--65402b47e1325603e6ef4271	aac62ec300f46705ae35609cc084f9b8	APPROVED	2023-10-30T22:16:40.034	2023-10-30T22:17:21.039	2023-10-30T22:17:21.039	0.0320000000
вообще не понимаю гонора на вебкамщиц/онлифанщиц. Ну подарила природа бабенке красивую письку или внешку или и то и другое. Хочет и продает, кого ЭТО ВООБЩЕ ЕБЕТ. Симпы блядь куколды. Как же завидуют петровичи и кузьмичи молодым девочкам	это потому что цена на пизду сверхвысока, могли бы петровичи и кузмичи пойти и бабу выебать, то и не платили бы шлюхам на онлифанс. Скоро из-за онлифанса выебать шлюху будет стоить один биткоин, потому что нахуя шлюхе работать там хуи в себя принимать, если можно раскручивать онлифанс и иметь те же бабки нихуя не делая.	зависть, обычная зависть! ни петровичу, ни кузьмичу не хуя показать на онлифанс, и денег за то, чем их наделила природа, они ни хуя не срубят. вот и ярятся в бессильной злобе, печально облизывая монитор. а иногда этот гон провоцируют конкурентки с онлифанс, если чо. там же тоже войны за деньги идут, и нехилые.	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b53e1325603e6ef4413	000280e676--654025b149bf6d25f0b6ac28	000280e676--65402b53e1325603e6ef4413	000280e676--65402b53e1325603e6ef4411	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:51.635	2023-10-30T22:17:31.878	2023-10-30T22:17:31.878	0.0320000000
тупое предложение использовать собачий анус вместо втулки Твой обоссаный кусок чугуния и эндурик имеют немного разные нагрузки на ось маятника, в курсе?	еще лучше использовать твой разработанный огромными нигерскими хуями анус в качестве втулки - прям ахуенно получится	пидораса не слушай он тупой наглухо отбитый дегенерат хохол - думает в своем маня мирке что тролит двач но на самом деле принимает уже десятую стую урины на свое тупое хохляцкое ебало	другое	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402b53e1325603e6ef4413	000280e676--654025a02d0f5e27572ddcab	000280e676--65402b53e1325603e6ef4413	000280e676--65402b53e1325603e6ef4411	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:51.635	2023-10-30T22:17:31.878	2023-10-30T22:17:31.878	0.0320000000
Клиенты жидовки жены и коллега по сосанию хуев за шекели сестричка Злата( она же Сара кек)	Все думал кого эти шмары мне напоминают. Так это же блять ведьмы с любого фильма про ведьм ахаха	Ого, а у этой Сары, я смотрю есть аудитория, все черномазые на подбор. и даги тут как тут примазались	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b53e1325603e6ef4413	000280e676--654025b049bf6d25f0b6ab4d	000280e676--65402b53e1325603e6ef4413	000280e676--65402b53e1325603e6ef4411	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:16:51.635	2023-10-30T22:17:31.878	2023-10-30T22:17:31.878	0.0320000000
Песков все правильно сказал При виде этого фбк хочется ему въебать только мне?	о новый утырок въеби говна чел	Для того, чтобы компетентно высказаваться по подобному вопросу, мне необходимо больше знаний по теме	мужчины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b60e1325603e6ef4566	000280e676--654025b049bf6d25f0b6ab93	000280e676--65402b60e1325603e6ef4566	000280e676--65402b60e1325603e6ef4562	46555c2fdffa5c5c63597034b477e10f	APPROVED	2023-10-30T22:17:04.228	2023-10-30T22:17:38.270	2023-10-30T22:17:38.270	0.0320000000
"Это не гражданская война, а агрессия соседнего государства, которая подняла ватных алкашей возрождать ""ВЕЛИКУЮ РОССИЮ"" и обосралась в итоге. А Крым он России боком вышел."	твое дайнское мнение также далеко от истины, как одна нога твоей мамаши от второй пока она узбеков обслуживает	"Хуйню не неси, долбаеб Не видел в сводках, что у нас была война с Украиной, вы ее сами придумали, чтобы оправдать свое бессилие против ""ватных алкашей"""	мужчины	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402b60e1325603e6ef4566	000280e676--654025a02d0f5e27572ddcbf	000280e676--65402b60e1325603e6ef4566	000280e676--65402b60e1325603e6ef4562	46555c2fdffa5c5c63597034b477e10f	APPROVED	2023-10-30T22:17:04.228	2023-10-30T22:17:38.270	2023-10-30T22:17:38.270	0.0320000000
Клиенты жидовки жены и коллега по сосанию хуев за шекели сестричка Злата( она же Сара кек)	Все думал кого эти шмары мне напоминают. Так это же блять ведьмы с любого фильма про ведьм ахаха	Ого, а у этой Сары, я смотрю есть аудитория, все черномазые на подбор. и даги тут как тут примазались	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b60e1325603e6ef4566	000280e676--654025b049bf6d25f0b6ab4d	000280e676--65402b60e1325603e6ef4566	000280e676--65402b60e1325603e6ef4562	46555c2fdffa5c5c63597034b477e10f	APPROVED	2023-10-30T22:17:04.228	2023-10-30T22:17:38.270	2023-10-30T22:17:38.270	0.0320000000
господ магов. Проорал. Картавые дети шлюх и мудил не могут быть магами, они могут быть только картавыми детьми шлюх и мудил.	Сам ты картавый мудила! Это цитата? Или это ты так пошутил? Прикрой свой ебаный рот, пидор	То что у тебя папа еврей, который бросил твою мать шлюху мы уже поняли. Можешь больше не повторяться.	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402b72dc18ba1744e50463	000280e676--654025af49bf6d25f0b6ab33	000280e676--65402b72dc18ba1744e50463	000280e676--65402b72dc18ba1744e50461	aac62ec300f46705ae35609cc084f9b8	APPROVED	2023-10-30T22:17:22.567	2023-10-30T22:17:59.024	2023-10-30T22:17:59.024	0.0320000000
Это твоя методичка хуесос. Ты же за обэму? За обэму а обэма квакал что совки только галоши делать и умели и даже едой себя обеспечить не могли. Так чего у тебя в 90е вывезли? Галоши?	мда, диванный курс политологии от тупого говна	Я не за обэму - я против тебя, гнилой хуесос и пидомразь.	лгбт	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402b72dc18ba1744e50463	000280e676--654025a02d0f5e27572ddcb9	000280e676--65402b72dc18ba1744e50463	000280e676--65402b72dc18ba1744e50461	aac62ec300f46705ae35609cc084f9b8	APPROVED	2023-10-30T22:17:22.567	2023-10-30T22:17:59.024	2023-10-30T22:17:59.024	0.0320000000
гомосолдатка детектед Подумал даг, решив шугануть ухтинского вертухая)	когда ссышься хачей на генетическом уровне	Ты прав, Аркаша, — твоя жопа шире, срать удобней!	национальность	1				https://platform.toloka.ai/task/42002038/000280e676--65402b72dc18ba1744e50463	000280e676--654025b149bf6d25f0b6ac3e	000280e676--65402b72dc18ba1744e50463	000280e676--65402b72dc18ba1744e50461	aac62ec300f46705ae35609cc084f9b8	APPROVED	2023-10-30T22:17:22.567	2023-10-30T22:17:59.024	2023-10-30T22:17:59.024	0.0320000000
На самом деле примерно 90% мужиков таки добирается до кусочка пиздятинки, не всегда первой свежести или диетической , но в целом даже всратки и карланы рано или поздно женятся.	Засуну свой лукизм тебе за щеку если ты не уродина!	“Засуну свой лукизм тебе за щеку если ты не уродина”? Что ещё можно было услышать от тупого спермобака..	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402b7df83f2e52cc77bad2	000280e676--654025af49bf6d25f0b6aac7	000280e676--65402b7df83f2e52cc77bad2	000280e676--65402b7df83f2e52cc77bacf	bca7efbb853c72e6c0f98b678030c071	APPROVED	2023-10-30T22:17:33.283	2023-10-30T22:17:54.465	2023-10-30T22:17:54.465	0.0320000000
